genus,species,wd
Mastichodendron,foetidissimum,0.9
Araucaria,heterophylla,0.45
Prosopis,juliflora,0.8
Erythrina,berteroana,0.3
Phyllostylon,brasiliense,0.785
Simarouba,spp.,0.375
Sapium,spp.,0.45
Guatteria,blainii,0.8
Amyris,spp.,0.9500000000000001
Lonchocarpus,spp.,0.69
Pimenta,racemosa,0.9
Cordia,spp. (dark-wooded),0.65
Rheedia,spp.,0.7150000000000001
Guazuma,ulmifolia,0.5
Petitia,domingensis,0.66
Piptadenia,peregrina,0.66
Krugiodendron,ferreum,1.0
Maytenus,spp.,0.7050000000000001
Matayba,domingensis,0.7
Senna,atomaria,0.71
Capparis,flexuosa,0.825
Schefflera,morototoni,0.45
Symphonia,globulifera,0.585
Tetragastris,spp.,0.7050000000000001
Pithecellobium,arboreum,0.7
Alchornea,latifolia,0.39
Oxandra,lanceolata,0.81
Vitex,divaricata,0.5700000000000001
Podocarpus,spp.,0.455
Brunellia,comocladiifolia,0.3
Colubrina,elliptica,0.8
Gymnanthes,lucida,1.1
Buchenavia,capitata,0.585
Pterocarpus,officinalis,0.7150000000000001
Tabebuia,spp.,0.585
Ormosia,krugii,0.5900000000000001
Trophis,racemosa,0.535
Dendropanax,arboreus,0.46
Casearia,spp.,0.7
Beilschmiedia,pendula,0.54
Pinus,caribaea,0.52
Pinus,occidentalis,0.6699999999999999
Zanthoxylum,flavum,0.775
Zanthoxylum,monophyllum,0.76
Colubrina,arborescens,0.685
Myrsine,coriacea,0.7
Diospyros,spp.,0.7
Acacia,scleroxyla,0.9099999999999999
Cordia,alliodora,0.46
Trema,micrantha,0.4
Enterolobium,cyclocarpum,0.495
Guarea,spp.,0.525
Catalpa,longissima,0.7
Calophyllum,calaba,0.46
Leucaena,leucocephala subsp. leucocephala,0.7
Caesalpinia,coriaria,1.05
Ocotea,leucoxylon,0.45
Delonix,regia,0.8
Pictetia,spinifolia,1.1400000000000001
Guaiacum,spp.,1.095
Bursera,simaruba,0.33
Hibiscus,tiliaceus,0.6
Pictetia,aculeata,0.8
Citharexylum,fruticosum,0.8
Grevillea,robusta,0.46
Bucida,buceras,0.8400000000000001
Psidium,guajava,0.8
Chrysobalanus,icaco,0.8
Cananga,odorata,0.3
Artocarpus,spp.,0.335
Genipa,americana var. caruto,0.5900000000000001
Pouteria,sapota,0.6
Swietenia,macrophylla,0.54
Swietenia,mahagoni,0.685
Guettarda,spp.,0.815
Crescentia,cujete,0.65
Eucalyptus,globulus,0.7350000000000001
Haematoxylon,brasiletto,0.8049999999999999
Haematoxylon,campechianum,0.745
Pithecellobium,circinale,1.0150000000000001
Canella,winterana,0.95
Cassia,fistula,0.9
Senna,siamea,0.7
Hevea,brasiliensis,0.46
Chrysophyllum,cainito,0.7
Chrysophyllum,oliviforme,0.9
Casuarina,spp.,0.99
Exostema,caribaem,1.055
Ziziphus,spp.,0.9
Cordia,sebestena,0.7
Bumelia,salicifolia,0.9450000000000001
Ochroma,pyramidale,0.24
Hymenaea,courbaril,0.7649999999999999
Annona,spp.,0.45
Ximenia,americana,0.95
Prunus,occidentalis,0.9750000000000001
Byrsonima,spicata,0.585
Melia,azedarach,0.46
Gliricidia,sepium,0.61
Leucaena,leucocephala subsp. glabrata,0.645
Cinnamomum,spp.,0.52
Licaria,triandra,0.8200000000000001
Ocotea,membranacea,0.45
Cinnamomum,elongatum,0.47
Nerium,oleander,0.6
Parkinsonia,aculeata,0.615
Hibiscus,elatus,0.585
Hippomane,mancinella,0.5
