species_binomial,family,genus,species,wd
acacia  ,Fabaceae,Acacia,,
acacia auriculiformis,Fabaceae,Acacia,auriculiformis,0.7
acacia barahonensis,Fabaceae,Acacia,barahonensis,
acacia decurrens,Fabaceae,Acacia,decurrens,
acacia farnesiana,Fabaceae,Acacia,farnesiana,0.8049999999999999
acacia macracantha,Fabaceae,Acacia,macracantha,0.935
acacia mearnsii,Fabaceae,Acacia,mearnsii,0.585
acacia melanoxylon,Fabaceae,Acacia,melanoxylon,0.585
acacia muricata,Fabaceae,Acacia,muricata,
acacia nilotica,Fabaceae,Acacia,nilotica,0.8
acacia scleroxyla,Fabaceae,Acacia,scleroxyla,0.9099999999999999
acacia senegal,Fabaceae,Acacia,senegal,
acacia tortuosa,Fabaceae,Acacia,tortuosa,
acacia vogeliana,Fabaceae,Acacia,vogeliana,
acnistus arborescens,Solanaceae,Acnistus,arborescens,
acrocomia aculeata,Arecaceae,Acrocomia,aculeata,
adansonia digitata,Bombacaceae,Adansonia,digitata,
adelia ricinella,Euphorbiaceae,Adelia,ricinella,
adenanthera pavonina,Fabaceae,Adenanthera,pavonina,0.7
albizia berteriana,Fabaceae,Albizia,berteriana,
albizia guachapele,Fabaceae,Albizia,guachapele,0.575
albizia lebbeck,Fabaceae,Albizia,lebbeck,0.555
albizia procera ,Fabaceae,Albizia,procera,0.75
albizia saman,Fabaceae,Albizia,saman,0.53
alchornea latifolia,Euphorbiaceae,Alchornea,latifolia,0.39
alchorneopsis floribunda,Euphorbiaceae,Alchorneopsis,floribunda,0.45
aleurites fordii,Euphorbiaceae,Aleurites,fordii,
aleurites moluccana,Euphorbiaceae,Aleurites,moluccana,
aleurites trisperma,Euphorbiaceae,Aleurites,trisperma,
allophylus cobbe,,Allophylus,cobbe,
allophylus cominia,Sapindaceae,Allophylus,cominia,
allophylus crassinervis,Sapindaceae,Allophylus,crassinervis,
allophylus occidentalis,Sapindaceae,Allophylus,occidentalis,
allophylus racemosus,,Allophylus,racemosus,
allophylus rigidus,Sapindaceae,Allophylus,rigidus,
allophylus spp.,,Allophylus,,
alnus acuminata,Betulaceae,Alnus,acuminata,0.55
alsophila hotteana,Cyatheaceae,Alsophila,hotteana,
alsophila minor,Cyatheaceae,Alsophila,minor,
alsophila woodwardioides,Cyatheaceae,Alsophila,woodwardioides,
alvaradoa  ,Simaroubaceae,Alvaradoa,,
alvaradoa haitiensis,Simaroubaceae,Alvaradoa,haitiensis,
amoelocera cubensis,Ulmaceae,Amoelocera,cubensis,
amyris balsamifera,Rutaceae,Amyris,balsamifera,
amyris diatrypa,Rutaceae,Amyris,diatrypa,
amyris elemifera,Rutaceae,Amyris,elemifera,
amyris spp.,Rutaceae,Amyris,,0.9500000000000001
