all_names,sd_sp,med_sp,mean_sp,sd_gn,med_gn,mean_gn,sd_fm,med_fm,mean_fm
abbe marron,,0.58,0.58,,0.58,0.58,,0.38,0.39835402790833335
abbe rouge,,0.615,0.6402908333333334,,0.615,0.6402908333333334,0.4097523466825996,0.6875,0.6980207277713621
abe mawon,,0.58,0.58,,0.58,0.58,,0.38,0.39835402790833335
abi,,0.6775,0.6775,,0.6,0.6680866666666665,0.4097523466825996,0.6875,0.6640156033920452
abricot,,0.63,0.63,,0.7221594565,0.724794666783784,,0.63,0.6552249557539684
abricot batard,,0.7221594565,0.724794666783784,,0.7221594565,0.724794666783784,,0.63,0.6552249557539684
abricot bord de mer,,0.7221594565,0.724794666783784,,0.7221594565,0.724794666783784,,0.63,0.6552249557539684
abricot marron,,0.6,0.5769757868571429,,0.6,0.5769757868571429,,0.6,0.5769757868571429
abricot st-domingue,,0.7221594565,0.724794666783784,,0.7221594565,0.724794666783784,,0.63,0.6552249557539684
abricotier,,0.63,0.63,,0.63322845525,0.6508835869166667,,0.63,0.6552249557539684
abricotier biitard,,0.32999999999999996,0.32999999999999996,,0.344088,0.34636772182758624,,0.466106,0.4901382243123288
abricotier de st-domingue,,0.7221594565,0.724794666783784,,0.7221594565,0.724794666783784,,0.63,0.6552249557539684
abricotier de st. domingue,,0.7221594565,0.724794666783784,,0.7221594565,0.724794666783784,,0.63,0.6552249557539684
abricotier des antilles,,0.63,0.63,,0.63322845525,0.6508835869166667,,0.63,0.6552249557539684
acacia,,0.8049999999999999,0.8049999999999999,,0.7851487500000001,0.767323963,0.4097523466825996,0.6875,0.6980207277713621
acacia ,,0.81875,0.81875,,0.7851487500000001,0.767323963,0.4097523466825996,0.6875,0.6980207277713621
acacia de farnese,,0.8049999999999999,0.8049999999999999,,0.7851487500000001,0.767323963,0.4097523466825996,0.6875,0.6980207277713621
acacia du senegal,,0.7851487500000001,0.767323963,,0.7851487500000001,0.767323963,0.4097523466825996,0.6875,0.6980207277713621
acacia jaune,,0.8049999999999999,0.8049999999999999,,0.7851487500000001,0.767323963,0.4097523466825996,0.6875,0.6980207277713621
acacia noir,,0.7851487500000001,0.767323963,,0.7851487500000001,0.767323963,0.4097523466825996,0.6875,0.6980207277713621
acacia odorant,,0.8049999999999999,0.8049999999999999,,0.7851487500000001,0.767323963,0.4097523466825996,0.6875,0.6980207277713621
acacia piquant,,0.8325,0.8325,,0.7851487500000001,0.767323963,0.4097523466825996,0.6875,0.6980207277713621
acacia rouge,,0.7851487500000001,0.767323963,,0.7851487500000001,0.767323963,0.4097523466825996,0.6875,0.6980207277713621
acacia savane ,,0.8325,0.8325,,0.7851487500000001,0.767323963,0.4097523466825996,0.6875,0.6980207277713621
acacia tordu,,0.7851487500000001,0.767323963,,0.7851487500000001,0.767323963,0.4097523466825996,0.6875,0.6980207277713621
acaciajaune,,0.8049999999999999,0.8049999999999999,,0.7851487500000001,0.767323963,0.4097523466825996,0.6875,0.6980207277713621
acajou,,0.548875,0.5519903333333332,,0.513125,0.5129892588000001,,0.5036780000000001,0.5202595643034369
acajou ,,0.44025000000000003,0.4464806666666666,,0.45,0.4492285176000001,,0.466106,0.4901382243123288
acajou a planches,,0.45499999999999996,0.4659228571428571,,0.4525,0.461782064516129,,0.54125,0.5503809042945451
acajou du honduras,,0.53,0.5297727272727273,,0.57625,0.5767500000000001,,0.54125,0.5503809042945451
acajou du venezuela,,0.53,0.5297727272727273,,0.57625,0.5767500000000001,,0.54125,0.5503809042945451
acajou etranger,,0.53,0.5297727272727273,,0.57625,0.5767500000000001,,0.54125,0.5503809042945451
acajou femelle,,0.45499999999999996,0.4659228571428571,,0.4525,0.461782064516129,,0.54125,0.5503809042945451
acajou pays,,0.6575,0.6575,,0.57625,0.5767500000000001,,0.54125,0.5503809042945451
acajou sauvage,,0.7275,0.707446590909091,,0.7275,0.707446590909091,,0.70375,0.6829172864166668
acajou-senti,,0.45499999999999996,0.4659228571428571,,0.4525,0.461782064516129,,0.54125,0.5503809042945451
acamat,,0.9075,0.9075,,0.89125,0.8859998333333332,,0.7689999999999999,0.7471137938687258
acnistus belladone,,0.494,0.49806893333333335,,0.494,0.49806893333333335,,0.494,0.49806893333333335
acomat,,0.9075,0.9075,,0.78015625,0.7985242059561404,,0.71395,0.7106834891916094
acomat marron,,0.9025,0.9058333333333333,,0.89125,0.8859998333333332,,0.7689999999999999,0.7471137938687258
acomat rouge,,0.9025,0.9058333333333333,,0.89125,0.8859998333333332,,0.7689999999999999,0.7471137938687258
acrocomia glouglou,,0.54,0.5567344712,,0.54,0.5567344712,,0.54,0.5567344712
ahouai des antilles,,0.72,0.72,,0.72,0.72,,0.571215,0.5834368875889329
aibor maurepasia,,0.28,0.28,,0.28200000000000003,0.2937748082666667,0.4097523466825996,0.6875,0.6980207277713621
akasee,,0.7851487500000001,0.767323963,,0.7851487500000001,0.767323963,0.4097523466825996,0.6875,0.6980207277713621
akasya,,0.69,0.69,,0.7851487500000001,0.767323963,0.4097523466825996,0.6875,0.6980207277713621
aken,,0.8,0.7831121739130434,,0.8,0.7831121739130434,0.4097523466825996,0.6875,0.6980207277713621
aki,,0.76223475,0.76223475,,0.767779633,0.7104161422499999,,0.695,0.6640156033920452
akoma,,0.905,0.9066666666666666,,0.78015625,0.7985242059561404,,0.71395,0.7106834891916094
akoma blan,,0.9075,0.9075,,0.89125,0.8859998333333332,,0.7689999999999999,0.7471137938687258
akoma fran,,0.9075,0.9075,,0.89125,0.8859998333333332,,0.7689999999999999,0.7471137938687258
akoma jon,,0.45933824999999995,0.4628906666666667,,0.45933824999999995,0.4628906666666667,,0.45933824999999995,0.4628906666666667
akoma mawon,,0.9025,0.9058333333333333,,0.89125,0.8859998333333332,,0.7689999999999999,0.7471137938687258
akoma wouj,,0.9025,0.9058333333333333,,0.89125,0.8859998333333332,,0.7689999999999999,0.7471137938687258
alchornea bois-crapaud,,0.395,0.4083333333333333,,0.395,0.4014223684210526,,0.48107999999999995,0.5455080724271253
alerit,,0.396752,0.3799922,,0.394,0.37437761538461534,,0.48107999999999995,0.5455080724271253
aleurites,,0.396752,0.3799922,,0.394,0.37437761538461534,,0.48107999999999995,0.5455080724271253
alvaradoa,,0.58,0.58,,0.58,0.58,,0.38,0.39835402790833335
amande,,0.4878175,0.49646964285714285,,0.5107581569999999,0.5348598806396647,,0.64697792625,0.6590742516382115
amandier,,0.9724999999999999,0.9724999999999999,,0.76725,0.7783968815789473,,0.7925,0.7967765362318842
amandier ,,0.9724999999999999,0.9724999999999999,,0.76725,0.7783968815789473,,0.7925,0.7967765362318842
amandier a grandes feuilles,,0.9724999999999999,0.9724999999999999,,0.76725,0.7783968815789473,,0.7925,0.7967765362318842
amandier a petites feuilles,,0.7409250000000001,0.7409250000000001,,0.76725,0.7783968815789473,,0.7925,0.7967765362318842
amandier agrandes feuilles,,0.9724999999999999,0.9724999999999999,,0.76725,0.7783968815789473,,0.7925,0.7967765362318842
amandier des indes,,0.4878175,0.49646964285714285,,0.5107581569999999,0.5348598806396647,,0.64697792625,0.6590742516382115
amandier tropical,,0.4878175,0.49646964285714285,,0.5107581569999999,0.5348598806396647,,0.64697792625,0.6590742516382115
ambo,,0.71,0.7204301719259262,,0.71,0.7204301719259262,,0.71,0.7204301719259262
ameau,,0.77,0.7269909090909089,,0.77,0.7269909090909089,,0.77,0.7772079554657537
amorette male,,0.4042,0.41188571428571424,,0.4042,0.41188571428571424,,0.494,0.49806893333333335
amorette marron,,0.4042,0.41188571428571424,,0.4042,0.41188571428571424,,0.494,0.49806893333333335
amouret,,0.4042,0.41188571428571424,,0.4042,0.41188571428571424,,0.494,0.49806893333333335
amouret mal,,0.4042,0.41188571428571424,,0.4042,0.41188571428571424,,0.494,0.49806893333333335
amouret mawon,,0.4042,0.41188571428571424,,0.4042,0.41188571428571424,,0.494,0.49806893333333335
amourette,,0.4042,0.41188571428571424,,0.4042,0.41188571428571424,,0.494,0.49806893333333335
amourette franche,,0.4042,0.41188571428571424,,0.4042,0.41188571428571424,,0.494,0.49806893333333335
amyride,,0.95,0.95,,0.9625,0.9625,,0.69566683325,0.7006143557761193
amyris,,0.95,0.95,,0.9625,0.9625,,0.69566683325,0.7006143557761193
anacarde,,0.44025000000000003,0.4464806666666666,,0.45,0.4492285176000001,,0.466106,0.4901382243123288
anacardier cajou,,0.44025000000000003,0.4464806666666666,,0.45,0.4492285176000001,,0.466106,0.4901382243123288
anis des bois,,0.3935,0.3935,,0.3935,0.3935,,0.3935,0.3935
anis etoile marron,,0.579213,0.579213,,0.579213,0.579213,,0.579213,0.579213
anis marron,,0.3935,0.3935,,0.3935,0.3935,,0.3935,0.3935
anis mawon,,0.3935,0.3935,,0.3935,0.3935,,0.3935,0.3935
anis sauvage,,0.3935,0.3935,,0.3935,0.3935,,0.3935,0.3935
anis zetwal,,0.579213,0.579213,,0.579213,0.579213,,0.579213,0.579213
aniset,,0.3935,0.3935,,0.3935,0.3935,,0.3935,0.3935
anisette,,0.3935,0.3935,,0.3935,0.3935,,0.3935,0.3935
ano,,0.77,0.7269909090909089,,0.77,0.7269909090909089,,0.77,0.7772079554657537
anone reticulee,,0.55,0.55,,0.5,0.4805487873846154,,0.595,0.5772333305037176
anone zombi,,0.5,0.4805487873846154,,0.5,0.4805487873846154,,0.595,0.5772333305037176
aquin,,0.8,0.7831121739130434,,0.8,0.7831121739130434,0.4097523466825996,0.6875,0.6980207277713621
arabo,,0.71,0.7204301719259262,,0.71,0.7204301719259262,,0.71,0.7204301719259262
arali gran fey,,0.4337925,0.43866035000000003,,0.4337925,0.43866035000000003,,,
aralie elevee,,0.53,0.53,,0.53,0.53,,,
aralie grandes feuilles,,0.445,0.45295812500000004,,0.4337925,0.43866035000000003,,0.4325,0.44199980770370373
araucaria,,0.45,0.45,,0.44840616675,0.4616527166944444,,0.44,0.44720274910810814
arbre a bombes,,0.435,0.434015,,0.42,0.425212,,0.7073149999999999,0.6963209754656489
arbre a caoutchouc,,0.475,0.4633125,,0.475,0.48206217120454553,,0.48107999999999995,0.5455080724271253
arbre a corail,,0.28200000000000003,0.2937748082666667,,0.28200000000000003,0.2937748082666667,0.4097523466825996,0.6875,0.6980207277713621
arbre a pain,,,,,,,,,
arbre a petites feuilles,,1.0150000000000001,1.0138592452210524,,1.0150000000000001,1.0138592452210524,,0.78,0.8040709736030978
arbre acorail,,0.28,0.28,,0.28200000000000003,0.2937748082666667,0.4097523466825996,0.6875,0.6980207277713621
arbre apain,,0.405,0.4325125,,0.6074999999999999,0.6020925371626984,0.4097523466825996,0.577375,0.5893419082707543
arbre apetites feuilles,,1.0150000000000001,1.0138592452210524,,1.0150000000000001,1.0138592452210524,,0.78,0.8040709736030978
arbre au diable,,0.355,0.3486654359,,0.355,0.34906134615625,,0.48107999999999995,0.5455080724271253
arbre de pluie,,0.5125,0.5125,,0.5525,0.5731017245700935,0.4097523466825996,0.6875,0.6980207277713621
arbre de vie,,1.1475,1.1358333333333333,,1.0975000000000001,1.1089285714285715,,1.0525,1.023232953236842
arbre soie,,,,,,,,,
arbre-a-fricasser,,0.76223475,0.76223475,,0.767779633,0.7104161422499999,,0.695,0.6640156033920452
arbre-a-savon,,0.7548,0.7561500000000001,,0.751288,0.7677272727272728,,0.695,0.6640156033920452
areca,,0.54,0.5567344712,,0.54,0.5567344712,,0.54,0.5567344712
arne veritable,,0.8025,0.794784788611111,,0.8025,0.794784788611111,0.4097523466825996,0.6875,0.6980207277713621
arokariya,,0.45,0.45,,0.44840616675,0.4616527166944444,,0.44,0.44720274910810814
aspidosperma amer-blanc,,0.83,0.83,,0.75,0.747806163136986,,0.571215,0.5834368875889329
aulne,,0.465,0.4681666666666666,,0.47750000000000004,0.4774295555555556,,0.53480675,0.5301152083333334
aulne acumine,,0.465,0.4681666666666666,,0.47750000000000004,0.4774295555555556,,0.53480675,0.5301152083333334
aulne acumine typique,,0.465,0.4681666666666666,,0.47750000000000004,0.4774295555555556,,0.53480675,0.5301152083333334
aune,,0.465,0.4681666666666666,,0.47750000000000004,0.4774295555555556,,0.53480675,0.5301152083333334
avocat,,0.5275000000000001,0.5368615833333333,,0.5025,0.5199304487179488,,0.53125,0.5495792673435416
avocat marron,,0.76125,0.7685938541666666,,0.76125,0.7685938541666666,,0.73465,0.7233095940780976
avocatier,,0.5275000000000001,0.5368615833333333,,0.5025,0.5199304487179488,,0.53125,0.5495792673435416
ayitye,,0.571215,0.5834368875889329,,0.571215,0.5834368875889329,,0.571215,0.5834368875889329
bache marron,,0.61,0.6321763141073171,,0.61,0.6321763141073171,,0.61,0.6321763141073171
badannier,,0.4878175,0.49646964285714285,,0.5107581569999999,0.5348598806396647,,0.64697792625,0.6590742516382115
badanye,,0.4878175,0.49646964285714285,,0.5107581569999999,0.5348598806396647,,0.64697792625,0.6590742516382115
bagage a collier,,0.72,0.72,,0.72,0.72,,0.571215,0.5834368875889329
bagaj akolye,,0.72,0.72,,0.72,0.72,,0.571215,0.5834368875889329
baie a ondes,,1.0194999999999999,1.0222122727272729,,1.0194999999999999,1.0222122727272729,0.4097523466825996,0.6875,0.6980207277713621
baie aonde,,1.0194999999999999,1.0222122727272729,,1.0194999999999999,1.0222122727272729,0.4097523466825996,0.6875,0.6980207277713621
balai de montagne,,0.70375,0.6829172864166668,,0.70375,0.6829172864166668,,0.70375,0.6829172864166668
balai four,,0.75,0.7580427083333333,,0.75,0.7580427083333333,,0.74055,0.7209919791666667
balai velours,,0.75,0.7580427083333333,,0.75,0.7580427083333333,,0.74055,0.7209919791666667
balata ,,0.855,0.8614790444333333,,0.86,0.8677016639999999,,0.7689999999999999,0.7471137938687258
balay fou,,0.75,0.7580427083333333,,0.75,0.7580427083333333,,0.74055,0.7209919791666667
balay mon,,0.70375,0.6829172864166668,,0.70375,0.6829172864166668,,0.70375,0.6829172864166668
bambou,,,,,,,,,
banann,,,,,,,,,
bananne,,,,,,,,,
bande,,0.77,0.77,,0.77,0.77,,0.77,0.77
bannann,,,,,,,,,
bashe marron,,0.61,0.6321763141073171,,0.61,0.6321763141073171,,0.61,0.6321763141073171
basilic arbre,,0.91,0.91,,0.7851487500000001,0.767323963,0.4097523466825996,0.6875,0.6980207277713621
bata kayman,,0.72,0.7150626092794117,,0.72,0.7150626092794117,0.4097523466825996,0.6875,0.6980207277713621
baton casse,,0.82506575,0.8490998333333333,,0.8049999999999999,0.8194038448275862,0.4097523466825996,0.6875,0.6980207277713621
baton casse (h);,,0.8049999999999999,0.8194038448275862,,0.8049999999999999,0.8194038448275862,0.4097523466825996,0.6875,0.6980207277713621
baton de sorcier,,0.28,0.28,,0.28200000000000003,0.2937748082666667,0.4097523466825996,0.6875,0.6980207277713621
