by_binomial,creole,BY_spec_grav,family,genus,species,species_abbr,wd_avg
mastichodendron foetidissimum,akoma,0.9,Sapotaceae,Mastichodendron,foetidissimum,foetidissimum,0.9
mastichodendron foetidissimum,koma,0.9,Sapotaceae,Mastichodendron,foetidissimum,foetidissimum,0.9
solanum torvum,amouret,,Solanaceae,Solanum,torvum,torvum,
solanum erianthm,amouret mawon,,Solanaceae,Solanum,erianthm,erianthm,
solanum erianthm,tabak mawon,,Solanaceae,Solanum,erianthm,erianthm,
erythroxylum areolatum,arabo,,Erythroxylaceae,Erythroxylum,areolatum,areolatum,
erythroxylum areolatum,nago,,Erythroxylaceae,Erythroxylum,areolatum,areolatum,
erythroxylum areolatum,papelit,,Erythroxylaceae,Erythroxylum,areolatum,areolatum,
araucaria heterophylla,arokariya,0.45,Araucariaceae,Araucaria,heterophylla,heterophylla,0.45
musa spp.,bannann,,Musaceae,Musa,spp.,spp.,
musa spp.,fig mi,,Musaceae,Musa,spp.,spp.,
cassia grandis,baton kas,,Fabaceae,Cassia,grandis,grandis,
erythrina variegata,baton sosiye,,Fabaceae,Erythrina,variegata,variegata,
prosopis juliflora,bayawonn,0.8,Fabaceae,Prosopis,juliflora,juliflora,0.8
prosopis juliflora,gwatapana,0.8,Fabaceae,Prosopis,juliflora,juliflora,0.8
acnistus arborescens,beladonn,,Solanaceae,Acnistus,arborescens,arborescens,
acnistus arborescens,fey doule,,Solanaceae,Acnistus,arborescens,arborescens,
moringa oleifera ,benzoliv,,Moringaceae,Moringa,oleifera,oleifera,
comocladia spp.,breziyet,,Anacardiaceae,Comocladia,spp.,spp.,
comocladia spp.,bwa panyol,,Anacardiaceae,Comocladia,spp.,spp.,
erythrina berteroana,brikal,0.3,Fabaceae,Erythrina,berteroana,berteroana,0.3
eugenia domingensis,brinyol,,Myrtaceae,Eugenia,domingensis,domingensis,
eugenia domingensis,bwa kayman,,Myrtaceae,Eugenia,domingensis,domingensis,
reynosia uncinata,briyol,,Rhamnaceae,Reynosia,uncinata,uncinata,
reynosia uncinata,bwa ebenn,,Rhamnaceae,Reynosia,uncinata,uncinata,
reynosia uncinata,bwa fe mawon,,Rhamnaceae,Reynosia,uncinata,uncinata,
reynosia uncinata,galgal,,Rhamnaceae,Reynosia,uncinata,uncinata,
jacquinia spp.,bwa bande,,Theophrastaceae,Jacquinia,spp.,spp.,
jacquinia spp.,bwa kasav,,Theophrastaceae,Jacquinia,spp.,spp.,
phyllostylon brasiliense,bwa blan,0.65-0.92,Ulmaceae,Phyllostylon,brasiliense,brasiliense,0.785
simarouba spp. ,bwa blan,0.34-0.41,Simaroubaceae,Simarouba,spp.,spp.,0.375
simarouba spp. ,fwenn,0.34-0.41,Simaroubaceae,Simarouba,spp.,spp.,0.375
capparis frondosa,bwa bourik,,Brassicaceae,Capparis,frondosa,frondosa,
capparis frondosa,sentespri,,Brassicaceae,Capparis,frondosa,frondosa,
sapium spp.,bwa brilan,0.38-0.52,Euphorbiaceae,Sapium,spp.,spp.,0.45
sapium spp.,bwa let,0.38-0.52,Euphorbiaceae,Sapium,spp.,spp.,0.45
guatteria blainii,bwa nwa,0.8,Annonaceae,Guatteria,blainii,blainii,0.8
amyris spp.,bwa chadel,0.79-1.11,Rutaceae,Amyris,spp.,spp.,0.9500000000000001
amyris spp.,twa pawol,0.79-1.11,Rutaceae,Amyris,spp.,spp.,0.9500000000000001
cordia alba,bwa chik,,Boraginaceae,Cordia,alba,alba,
capparis cynophallophora,bwa dajan,,Brassicaceae,Capparis,cynophallophora,cynophallophora,
capparis cynophallophora,bwa kaka,,Brassicaceae,Capparis,cynophallophora,cynophallophora,
myrcia citrifolia,bwa damou,,Myrtaceae,Myrcia,citrifolia,citrifolia,
myrcia citrifolia,maget,,Myrtaceae,Myrcia,citrifolia,citrifolia,
myrcia citrifolia,malaget,,Myrtaceae,Myrcia,citrifolia,citrifolia,
lonchocarpus spp. ,bwa dano,0.62-0.76,Fabaceae,Lonchocarpus,spp.,spp.,0.69
lonchocarpus spp. ,bwa kayman,0.62-0.76,Fabaceae,Lonchocarpus,spp.,spp.,0.69
bumelia cubensis,bwa denn,,Sapotaceae,Bumelia,cubensis,cubensis,
pimenta racemosa,bwa denn franse,0.9,Myrtaceae,Pimenta,racemosa,racemosa,0.9
pimenta racemosa,klou jirof,0.9,Myrtaceae,Pimenta,racemosa,racemosa,0.9
ternstroemia peduncularis,bwa denn mawon,,Theaceae,Ternstroemia,peduncularis,peduncularis,
cordia spp. (dark-wooded),bwa denn,0.52-0.78+,Boraginaceae,Cordia,spp. (dark-wooded),spp.,0.65
cordia spp. (dark-wooded),ti soley,0.52-0.78+,Boraginaceae,Cordia,spp. (dark-wooded),spp.,0.65
eugenia monticola ,bwa dinn ti fey,,Myrtaceae,Eugenia,monticola,monticola,
eugenia monticola ,ti bwa denn,,Myrtaceae,Eugenia,monticola,monticola,
rheedia spp. ,bwa diou,0.65-0.78,Clusiaceae,Rheedia,spp.,spp.,0.7150000000000001
rheedia spp. ,zabriko,0.65-0.78,Clusiaceae,Rheedia,spp.,spp.,0.7150000000000001
guazuma ulmifolia,bwa dom,0.5,Malvaceae,Guazuma,ulmifolia,ulmifolia,0.5
helicteres jamaicensis,bwa dom,,Malvaceae,Helicteres,jamaicensis,jamaicensis,
helicteres jamaicensis,jeson,,Malvaceae,Helicteres,jamaicensis,jamaicensis,
helicteres jamaicensis,koton rat,,Malvaceae,Helicteres,jamaicensis,jamaicensis,
petitia domingensis,bwa doti,0.66,Verbenaceae,Petitia,domingensis,domingensis,0.66
morinda citrifolia,bwa doule,,Rubiaceae,Morinda,citrifolia,citrifolia,
piptadenia peregrina,bwa ekos,"0.52, 0.8",Fabaceae,Piptadenia,peregrina,peregrina,0.66
piptadenia peregrina,bwa kayman,"0.52, 0.8",Fabaceae,Piptadenia,peregrina,peregrina,0.66
krugiodendron ferreum,bwa fe,0.96-1.04,Rhamnaceae,Krugiodendron,ferreum,ferreum,1.0
celtis trinervia,bwa fey blanch,,Ulmaceae,Celtis,trinervia,trinervia,
celtis trinervia,bwa rai,,Ulmaceae,Celtis,trinervia,trinervia,
maytenus spp.,bwa foumi,0.64-0.77,Celastraceae,Maytenus,spp.,spp.,0.7050000000000001
maytenus spp.,kajou sovaj,0.64-0.77,Celastraceae,Maytenus,spp.,spp.,0.7050000000000001
maytenus spp.,rezen mawon,0.64-0.77,Celastraceae,Maytenus,spp.,spp.,0.7050000000000001
matayba domingensis,bwa grenn,0.7,Sapindaceae,Matayba,domingensis,domingensis,0.7
matayba domingensis,bwa grenn nwa,0.7,Sapindaceae,Matayba,domingensis,domingensis,0.7
duranta repens,bwa jambet,,Verbenaceae,Duranta,repens,repens,
duranta repens,mayi bouyi,,Verbenaceae,Duranta,repens,repens,
chlorophora tinctoria,bwa jon,,Moraceae,Chlorophora,tinctoria,tinctoria,
bocconia frutescens,bwa jonis,,Papaveraceae,Bocconia,frutescens,frutescens,
bocconia frutescens,bwa kok denn,,Papaveraceae,Bocconia,frutescens,frutescens,
senna atomaria,bwa kabrit,0.57-0.85,Fabaceae,Senna,atomaria,atomaria,0.71
capparis flexuosa,bwa kaka,0.79-0.86,Brassicaceae,Capparis,flexuosa,flexuosa,0.825
bunchosia glandulosa,bwa kaka,,Malpighiaceae,Bunchosia,glandulosa,glandulosa,
bunchosia glandulosa,bwa poulet,,Malpighiaceae,Bunchosia,glandulosa,glandulosa,
schefflera morototoni,bwa kano,0.36-0.54,Araliaceae,Schefflera,morototoni,morototoni,0.45
schaefferia frutescens,bwa kapab,,Celastraceae,Schaefferia,frutescens,frutescens,
schaefferia frutescens,ti gason,,Celastraceae,Schaefferia,frutescens,frutescens,
guapira obtusata,bwa kawav silves,,Nyctaginaceae,Guapira,obtusata,obtusata,
symphonia globulifera,bwa kochon,0.52-0.65,Clusiaceae,Symphonia,globulifera,globulifera,0.585
tetragastris spp.,bwa kochon,0.63-0.78,Burseraceae,Tetragastris,spp.,spp.,0.7050000000000001
sloanea amygdalina,bwa kok,,Elaeocarpaceae,Sloanea,amygdalina,amygdalina,
sloanea amygdalina,chapo kare,,Elaeocarpaceae,Sloanea,amygdalina,amygdalina,
sloanea amygdalina,koma,,Elaeocarpaceae,Sloanea,amygdalina,amygdalina,
pithecellobium arboreum,bwa kolye,0.7,Fabaceae,Pithecellobium,arboreum,arboreum,0.7
pithecellobium arboreum,pwazon lasinet,0.7,Fabaceae,Pithecellobium,arboreum,arboreum,0.7
drypetes lateriflora,bwa kotlet,,Euphorbiaceae,Drypetes,lateriflora,lateriflora,
drypetes spp.,bwa kotlet,,Euphorbiaceae,Drypetes,spp.,spp.,
drypetes spp.,labou kochon,,Euphorbiaceae,Drypetes,spp.,spp.,
exothea paniculata,bwa koulev,,Sapindaceae,Exothea,paniculata,paniculata,
exothea paniculata,bwa milet,,Sapindaceae,Exothea,paniculata,paniculata,
exothea paniculata,kenep mawon,,Sapindaceae,Exothea,paniculata,paniculata,
alchornea latifolia,bwa krapo,0.39,Euphorbiaceae,Alchornea,latifolia,latifolia,0.39
alchornea latifolia,fey krapo,0.39,Euphorbiaceae,Alchornea,latifolia,latifolia,0.39
alchornea latifolia,pwa vach,0.39,Euphorbiaceae,Alchornea,latifolia,latifolia,0.39
oxandra lanceolata,bwa lans,0.81,Annonaceae,Oxandra,lanceolata,lanceolata,0.81
rauvolfia nitida,bwa let femel,,Apocynaceae,Rauvolfia,nitida,nitida,
rauvolfia nitida,bwa let,,Apocynaceae,Rauvolfia,nitida,nitida,
tabernaemontana citrifolia,bwa let mal,,Apocynaceae,Tabernaemontana,citrifolia,citrifolia,
tabernaemontana citrifolia,bwa let,,Apocynaceae,Tabernaemontana,citrifolia,citrifolia,
tabernaemontana citrifolia,lete,,Apocynaceae,Tabernaemontana,citrifolia,citrifolia,
vitex divaricata,bwa leza,0.52-0.62,Verbenaceae,Vitex,divaricata,divaricata,0.5700000000000001
vitex spp.,bwa leza,,Verbenaceae,Vitex,spp.,spp.,
vitex spp.,bwa savann,,Verbenaceae,Vitex,spp.,spp.,
vitex spp.,grigri,,Verbenaceae,Vitex,spp.,spp.,
podocarpus spp.,bwa liben,0.26-0.65,Podocarpaceae,Podocarpus,spp.,spp.,0.455
brunellia comocladiifolia,bwa mabel,0.3,Cunoniaceae,Brunellia,comocladiifolia,comocladiifolia,0.3
colubrina elliptica,bwa mabi,0.8,Rhamnaceae,Colubrina,elliptica,elliptica,0.8
gymnanthes lucida ,bwa mabre,1.1,Euphorbiaceae,Gymnanthes,lucida,lucida,1.1
buchenavia capitata,bwa mago,0.52-0.65,Combretaceae,Buchenavia,capitata,capitata,0.585
buchenavia capitata,grigri jon,0.52-0.65,Combretaceae,Buchenavia,capitata,capitata,0.585
piper aduncum,bwa majo,,Piperaceae,Piper,aduncum,aduncum,
piper aduncum,siwo,,Piperaceae,Piper,aduncum,aduncum,
pseudolmedia spuria,bwa meriz,,Moraceae,Pseudolmedia,spuria,spuria,
pseudolmedia spuria,long bab,,Moraceae,Pseudolmedia,spuria,spuria,
metopium toxiferum,bwa milat,,Anarcardiceae,Metopium,toxiferum,toxiferum,
eugenia rhombea,bwa mit,,Myrtaceae,Eugenia,rhombea,rhombea,
erythrina poeppigiana,bwa motel,,Fabaceae,Erythrina,poeppigiana,poeppigiana,
pterocarpus officinalis,bwa nago,0.65-0.78,Fabaceae,Pterocarpus,officinalis,officinalis,0.7150000000000001
pterocarpus officinalis,bwa pal,0.65-0.78,Fabaceae,Pterocarpus,officinalis,officinalis,0.7150000000000001
tabebuia spp.,bwa nago,0.52-0.65,Bignoniaceae,Tabebuia,spp.,spp.,0.585
tabebuia spp.,sip,0.52-0.65,Bignoniaceae,Tabebuia,spp.,spp.,0.585
tabebuia spp.,pwaye,0.52-0.65,Bignoniaceae,Tabebuia,spp.,spp.,0.585
ormosia krugii,bwa nanno,0.4-0.78,Fabaceae,Ormosia,krugii,krugii,0.5900000000000001
trophis racemosa ,bwa nef,0.42-0.65,Moraceae,Trophis,racemosa,racemosa,0.535
trophis racemosa ,ramo,0.42-0.65,Moraceae,Trophis,racemosa,racemosa,0.535
dendropanax arboreus,bwa neges,0.4-0.52,Araliaceae,Dendropanax,arboreus,arboreus,0.46
casearia spp.,bwa neges,0.7,Flacourtiaceae,Casearia,spp.,spp.,0.7
