species_binomial,by_spec_grav,family,genus,species,species_abbr,wd_avg,all_names
acacia  ,,Fabaceae,Acacia,,,,bayawonn
acacia  ,,Fabaceae,Acacia,,,,zakasya
acacia auriculiformis,0.6-0.8,Fabaceae,Acacia,auriculiformis,auriculiformis,0.7,zakasya
acacia auriculiformis,0.6-0.8,Fabaceae,Acacia,auriculiformis,auriculiformis,0.7,akasya
acacia auriculiformis,0.6-0.8,Fabaceae,Acacia,auriculiformis,auriculiformis,0.7,acacia
acacia barahonensis,,Fabaceae,Acacia,barahonensis,barahonensis,,acacia
acacia decurrens,,Fabaceae,Acacia,decurrens,decurrens,,
acacia farnesiana,0.77-0.84,Fabaceae,Acacia,farnesiana,farnesiana,0.8049999999999999,zakasya jon
acacia farnesiana,0.77-0.84,Fabaceae,Acacia,farnesiana,farnesiana,0.8049999999999999,zakasya
acacia farnesiana,0.77-0.84,Fabaceae,Acacia,farnesiana,farnesiana,0.8049999999999999,acacia
acacia farnesiana,0.77-0.84,Fabaceae,Acacia,farnesiana,farnesiana,0.8049999999999999,acaciajaune
acacia farnesiana,0.77-0.84,Fabaceae,Acacia,farnesiana,farnesiana,0.8049999999999999,acacia odorant
acacia farnesiana,0.77-0.84,Fabaceae,Acacia,farnesiana,farnesiana,0.8049999999999999,acacia jaune
acacia farnesiana,0.77-0.84,Fabaceae,Acacia,farnesiana,farnesiana,0.8049999999999999,acacia 
acacia farnesiana,0.77-0.84,Fabaceae,Acacia,farnesiana,farnesiana,0.8049999999999999,acacia de farnese
acacia farnesiana,0.77-0.84,Fabaceae,Acacia,farnesiana,farnesiana,0.8049999999999999,casse
acacia farnesiana,0.77-0.84,Fabaceae,Acacia,farnesiana,farnesiana,0.8049999999999999,cassie
acacia farnesiana,0.77-0.84,Fabaceae,Acacia,farnesiana,farnesiana,0.8049999999999999,cassier 
acacia farnesiana,0.77-0.84,Fabaceae,Acacia,farnesiana,farnesiana,0.8049999999999999,mimosa cassie
acacia farnesiana,0.77-0.84,Fabaceae,Acacia,farnesiana,farnesiana,0.8049999999999999,mimosa de farnese
acacia farnesiana,0.77-0.84,Fabaceae,Acacia,farnesiana,farnesiana,0.8049999999999999,pompon jaune
acacia macracantha,0.8-1.07,Fabaceae,Acacia,macracantha,macracantha,0.935,zakasya pikan
acacia macracantha,0.8-1.07,Fabaceae,Acacia,macracantha,macracantha,0.935,zakasya
acacia macracantha,0.8-1.07,Fabaceae,Acacia,macracantha,macracantha,0.935,acacia
acacia macracantha,0.8-1.07,Fabaceae,Acacia,macracantha,macracantha,0.935,acacia piquant
acacia macracantha,0.8-1.07,Fabaceae,Acacia,macracantha,macracantha,0.935,carambouba
acacia macracantha,0.8-1.07,Fabaceae,Acacia,macracantha,macracantha,0.935,karambouba
acacia macracantha,0.8-1.07,Fabaceae,Acacia,macracantha,macracantha,0.935,acacia 
acacia macracantha,0.8-1.07,Fabaceae,Acacia,macracantha,macracantha,0.935,acacia savane 
acacia macracantha,0.8-1.07,Fabaceae,Acacia,macracantha,macracantha,0.935,cambron
acacia mearnsii,0.52-0.65,Fabaceae,Acacia,mearnsii,mearnsii,0.585,
acacia melanoxylon,0.52-0.65,Fabaceae,Acacia,melanoxylon,melanoxylon,0.585,
acacia muricata,,Fabaceae,Acacia,muricata,muricata,,
acacia nilotica,0.8,Fabaceae,Acacia,nilotica,nilotica,0.8,gommier
acacia scleroxyla,0.88-0.94,Fabaceae,Acacia,scleroxyla,scleroxyla,0.9099999999999999,bwa savann
acacia scleroxyla,0.88-0.94,Fabaceae,Acacia,scleroxyla,scleroxyla,0.9099999999999999,kandelon
acacia scleroxyla,0.88-0.94,Fabaceae,Acacia,scleroxyla,scleroxyla,0.9099999999999999,tandrakayou
acacia scleroxyla,0.88-0.94,Fabaceae,Acacia,scleroxyla,scleroxyla,0.9099999999999999,basilic arbre
acacia scleroxyla,0.88-0.94,Fabaceae,Acacia,scleroxyla,scleroxyla,0.9099999999999999,bois chandelle
acacia scleroxyla,0.88-0.94,Fabaceae,Acacia,scleroxyla,scleroxyla,0.9099999999999999,bois savane
acacia scleroxyla,0.88-0.94,Fabaceae,Acacia,scleroxyla,scleroxyla,0.9099999999999999,candelon
