"family","genus","species","meanWD","sdWD","levelWD","nInd"
"Fabaceae","Acacia",NA,0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia",NA,0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","auriculiformis",0.68,0.0708232617216773,"species",1
"Fabaceae","Acacia","auriculiformis",0.68,0.0708232617216773,"species",1
"Fabaceae","Acacia","auriculiformis",0.68,0.0708232617216773,"species",1
"Fabaceae","Acacia","barahonensis",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","decurrens",0.55575,0.0708232617216773,"species",4
"Fabaceae","Acacia","farnesiana",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","farnesiana",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","farnesiana",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","farnesiana",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","farnesiana",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","farnesiana",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","farnesiana",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","farnesiana",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","farnesiana",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","farnesiana",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","farnesiana",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","farnesiana",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","farnesiana",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","farnesiana",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","macracantha",0.73,0.0708232617216773,"species",1
"Fabaceae","Acacia","macracantha",0.73,0.0708232617216773,"species",1
"Fabaceae","Acacia","macracantha",0.73,0.0708232617216773,"species",1
"Fabaceae","Acacia","macracantha",0.73,0.0708232617216773,"species",1
"Fabaceae","Acacia","macracantha",0.73,0.0708232617216773,"species",1
"Fabaceae","Acacia","macracantha",0.73,0.0708232617216773,"species",1
"Fabaceae","Acacia","macracantha",0.73,0.0708232617216773,"species",1
"Fabaceae","Acacia","macracantha",0.73,0.0708232617216773,"species",1
"Fabaceae","Acacia","macracantha",0.73,0.0708232617216773,"species",1
"Fabaceae","Acacia","mearnsii",0.659666666666667,0.0708232617216773,"species",3
"Fabaceae","Acacia","melanoxylon",0.530625,0.0708232617216773,"species",8
"Fabaceae","Acacia","muricata",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","nilotica",0.723333333333333,0.0708232617216773,"species",3
"Fabaceae","Acacia","scleroxyla",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","scleroxyla",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","scleroxyla",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","scleroxyla",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","scleroxyla",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","scleroxyla",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","scleroxyla",0.787831280193237,0.0941339098036177,"genus",115
"Fabaceae","Acacia","scleroxyla",0.787831280193237,0.0941339098036177,"genus",115
