"family","genus","species","meanWD","sdWD","levelWD","nInd"
"Sapotaceae","Mastichodendron","",0.714777960939882,0.123401724247162,"family",31
"Sapotaceae","Mastichodendron","",0.714777960939882,0.123401724247162,"family",31
"Solanaceae","Solanum","",0.411857142857143,0.0941339098036177,"genus",7
"Solanaceae","Solanum","",0.411857142857143,0.0941339098036177,"genus",7
"Solanaceae","Solanum","",0.411857142857143,0.0941339098036177,"genus",7
"Erythroxylaceae","Erythroxylum","",0.789611111111111,0.0941339098036177,"genus",16
"Erythroxylaceae","Erythroxylum","",0.789611111111111,0.0941339098036177,"genus",16
"Erythroxylaceae","Erythroxylum","",0.789611111111111,0.0941339098036177,"genus",16
"Araucariaceae","Araucaria","",0.475571428571429,0.0941339098036177,"genus",7
"Musaceae","Musa","",0.633457798490794,0.150097059378352,"dataset",920
"Musaceae","Musa","",0.633457798490794,0.150097059378352,"dataset",920
"Fabaceae","Cassia","",0.735827777777778,0.0941339098036177,"genus",15
"Fabaceae","Erythrina","",0.289050724637681,0.0941339098036177,"genus",23
"Fabaceae","Prosopis","",0.771932291666667,0.0941339098036177,"genus",16
"Fabaceae","Prosopis","",0.771932291666667,0.0941339098036177,"genus",16
"Solanaceae","Acnistus","",0.537788095238095,0.123401724247162,"family",5
"Solanaceae","Acnistus","",0.537788095238095,0.123401724247162,"family",5
"Moringaceae","Moringa","",0.262,0.0941339098036177,"genus",1
"Anacardiaceae","Comocladia","",0.79,0.0941339098036177,"genus",1
"Anacardiaceae","Comocladia","",0.79,0.0941339098036177,"genus",1
"Fabaceae","Erythrina","",0.289050724637681,0.0941339098036177,"genus",23
"Myrtaceae","Eugenia","",0.722760273972603,0.0941339098036177,"genus",73
"Myrtaceae","Eugenia","",0.722760273972603,0.0941339098036177,"genus",73
"Rhamnaceae","Reynosia","",0.742069687257187,0.123401724247162,"family",13
"Rhamnaceae","Reynosia","",0.742069687257187,0.123401724247162,"family",13
"Rhamnaceae","Reynosia","",0.742069687257187,0.123401724247162,"family",13
"Rhamnaceae","Reynosia","",0.742069687257187,0.123401724247162,"family",13
"Theophrastaceae","Jacquinia","",0.633457798490794,0.150097059378352,"dataset",920
"Theophrastaceae","Jacquinia","",0.633457798490794,0.150097059378352,"dataset",920
"Ulmaceae","Phyllostylon","",0.7543,0.0941339098036177,"genus",2
"Simaroubaceae","Simarouba","",0.557177777777778,0.0941339098036177,"genus",3
"Simaroubaceae","Simarouba","",0.557177777777778,0.0941339098036177,"genus",3
"Brassicaceae","Capparis","",0.633457798490794,0.150097059378352,"dataset",920
"Brassicaceae","Capparis","",0.633457798490794,0.150097059378352,"dataset",920
