"family","genus","species","meanWD","sdWD","levelWD","nInd"
"Sapotaceae","Mastichodendron","",0.9,0.0941339098036177,"genus",1
"Sapotaceae","Mastichodendron","",0.9,0.0941339098036177,"genus",1
"Solanaceae","Solanum","",0.655162035099255,0.180548680611199,"dataset",860
"Solanaceae","Solanum","",0.655162035099255,0.180548680611199,"dataset",860
"Solanaceae","Solanum","",0.655162035099255,0.180548680611199,"dataset",860
"Erythroxylaceae","Erythroxylum","",0.655162035099255,0.180548680611199,"dataset",860
"Erythroxylaceae","Erythroxylum","",0.655162035099255,0.180548680611199,"dataset",860
"Erythroxylaceae","Erythroxylum","",0.655162035099255,0.180548680611199,"dataset",860
"Araucariaceae","Araucaria","",0.45,0.0941339098036177,"genus",1
"Musaceae","Musa","",0.655162035099255,0.180548680611199,"dataset",860
"Musaceae","Musa","",0.655162035099255,0.180548680611199,"dataset",860
"Fabaceae","Cassia","",0.9,0.0941339098036177,"genus",1
"Fabaceae","Erythrina","",0.3,0.0941339098036177,"genus",1
"Fabaceae","Prosopis","",0.8,0.0941339098036177,"genus",1
"Fabaceae","Prosopis","",0.8,0.0941339098036177,"genus",1
"Solanaceae","Acnistus","",0.655162035099255,0.180548680611199,"dataset",860
"Solanaceae","Acnistus","",0.655162035099255,0.180548680611199,"dataset",860
"Moringaceae","Moringa","",0.655162035099255,0.180548680611199,"dataset",860
"Anacardiaceae","Comocladia","",0.5074375,0.123401724247162,"family",4
"Anacardiaceae","Comocladia","",0.5074375,0.123401724247162,"family",4
"Fabaceae","Erythrina","",0.3,0.0941339098036177,"genus",1
"Myrtaceae","Eugenia","",1,0.0941339098036177,"genus",2
"Myrtaceae","Eugenia","",1,0.0941339098036177,"genus",2
"Rhamnaceae","Reynosia","",0.97,0.123401724247162,"family",3
"Rhamnaceae","Reynosia","",0.97,0.123401724247162,"family",3
"Rhamnaceae","Reynosia","",0.97,0.123401724247162,"family",3
"Rhamnaceae","Reynosia","",0.97,0.123401724247162,"family",3
"Theophrastaceae","Jacquinia","",0.655162035099255,0.180548680611199,"dataset",860
"Theophrastaceae","Jacquinia","",0.655162035099255,0.180548680611199,"dataset",860
"Ulmaceae","Phyllostylon","",0.785,0.0941339098036177,"genus",1
"Simaroubaceae","Simarouba","",0.549166666666667,0.0941339098036177,"genus",3
"Simaroubaceae","Simarouba","",0.549166666666667,0.0941339098036177,"genus",3
"Brassicaceae","Capparis","",0.655162035099255,0.180548680611199,"dataset",860
"Brassicaceae","Capparis","",0.655162035099255,0.180548680611199,"dataset",860
"Euphorbiaceae","Sapium","",0.44375,0.0941339098036177,"genus",2
"Euphorbiaceae","Sapium","",0.44375,0.0941339098036177,"genus",2
"Annonaceae","Guatteria","",0.64425,0.0941339098036177,"genus",4
"Rutaceae","Amyris","",1,0.0941339098036177,"genus",2
"Rutaceae","Amyris","",1,0.0941339098036177,"genus",2
"Boraginaceae","Cordia","",0.524333333333333,0.0941339098036177,"genus",7
"Brassicaceae","Capparis","",0.655162035099255,0.180548680611199,"dataset",860
"Brassicaceae","Capparis","",0.655162035099255,0.180548680611199,"dataset",860
"Myrtaceae","Myrcia","",0.8,0.0941339098036177,"genus",1
"Myrtaceae","Myrcia","",0.8,0.0941339098036177,"genus",1
"Myrtaceae","Myrcia","",0.8,0.0941339098036177,"genus",1
"Fabaceae","Lonchocarpus","",0.69475,0.0941339098036177,"genus",4
"Fabaceae","Lonchocarpus","",0.69475,0.0941339098036177,"genus",4
