"family","genus","species","meanWD","sdWD","levelWD","nInd"
"Fabaceae","Acacia",NA,0.789022198480532,0.0941339098036177,"genus",117
"Fabaceae","Acacia",NA,0.789022198480532,0.0941339098036177,"genus",117
"Fabaceae","Acacia","auriculiformis",0.68,0.0708232617216773,"species",1
"Fabaceae","Acacia","auriculiformis",0.68,0.0708232617216773,"species",1
"Fabaceae","Acacia","auriculiformis",0.68,0.0708232617216773,"species",1
"Fabaceae","Acacia","barahonensis",0.789022198480532,0.0941339098036177,"genus",117
"Fabaceae","Acacia","decurrens",0.55575,0.0708232617216773,"species",4
"Fabaceae","Acacia","farnesiana",0.805,0.0708232617216773,"species",1
"Fabaceae","Acacia","farnesiana",0.805,0.0708232617216773,"species",1
"Fabaceae","Acacia","farnesiana",0.805,0.0708232617216773,"species",1
"Fabaceae","Acacia","farnesiana",0.805,0.0708232617216773,"species",1
"Fabaceae","Acacia","farnesiana",0.805,0.0708232617216773,"species",1
"Fabaceae","Acacia","farnesiana",0.805,0.0708232617216773,"species",1
"Fabaceae","Acacia","farnesiana",0.805,0.0708232617216773,"species",1
"Fabaceae","Acacia","farnesiana",0.805,0.0708232617216773,"species",1
"Fabaceae","Acacia","farnesiana",0.805,0.0708232617216773,"species",1
"Fabaceae","Acacia","farnesiana",0.805,0.0708232617216773,"species",1
"Fabaceae","Acacia","farnesiana",0.805,0.0708232617216773,"species",1
"Fabaceae","Acacia","farnesiana",0.805,0.0708232617216773,"species",1
"Fabaceae","Acacia","farnesiana",0.805,0.0708232617216773,"species",1
"Fabaceae","Acacia","farnesiana",0.805,0.0708232617216773,"species",1
"Fabaceae","Acacia","macracantha",0.73,0.0708232617216773,"species",1
"Fabaceae","Acacia","macracantha",0.73,0.0708232617216773,"species",1
"Fabaceae","Acacia","macracantha",0.73,0.0708232617216773,"species",1
"Fabaceae","Acacia","macracantha",0.73,0.0708232617216773,"species",1
"Fabaceae","Acacia","macracantha",0.73,0.0708232617216773,"species",1
"Fabaceae","Acacia","macracantha",0.73,0.0708232617216773,"species",1
"Fabaceae","Acacia","macracantha",0.73,0.0708232617216773,"species",1
"Fabaceae","Acacia","macracantha",0.73,0.0708232617216773,"species",1
