plot_no,plot_shp,plot_area
1,Plot_1Nobiomass.shp,1.123935
10,Plot_1BO.shp,0.757182
11,Plot_2BO.shp,0.355794
12,1Cuyo.shp,0.904163
13,2_cuyo.shp,1.061428
14,Decameron.shp,0.545582
15,Deluge_.shp,2.002474
16,2Delugert.shp,0.797335
17,3Deluger.shp,0.701758
18,Plot_1GON.shp,0.645644
19,Plot_2GON.shp,0.859093
2,Plot2No_biomass.shp,1.072981
20,Plot_3GON_p.shp,1.361225
21,1casimir.shp,1.931061
22,2casimir.shp,0.824874
23,1cobana.shp,1.244768
24,2cobana.shp,0.607441
25,Lerochekit.shp,0.452314
26,Pandiassou.shp,0.456313
27,Lemer.shp,0.40135
28,Marelish.shp,0.51009
29,Campeche.shp,0.870332
3,Plot3No_biomass.shp,1.023887
30,Lemanguier.shp,0.924655
31,Pewpapay.shp,0.628439
32,Pewpapay2.shp,0.891474
33,Rantnovi.shp,0.311403
34,Sapate.shp,0.569562
35,Tecase.shp,1.1224
36,Pandiassou2.shp,0.660323
4,Plot4No_biomass.shp,1.027183
5,Plot5No_biomass.shp,1.012452
6,Plot6No_biomass.shp,0.932226
7,Plot7No_biomass.shp,1.170944
8,Plot8No_biomass.shp,0.522302
9,Augier.shp,2.503314
