plot_no,plot_shp,plot_area,plot_id
1,Plot_1Nobiomass.shp,1.123935,NoBiomass1
2,Plot2No_biomass.shp,1.072981,NoBiomass2
3,Plot3No_biomass.shp,1.023887,NoBiomass3
4,Plot4No_biomass.shp,1.027183,NoBiomass4
5,Plot5No_biomass.shp,1.012452,NoBiomass5
6,Plot6No_biomass.shp,0.932226,NoBiomass6
7,Plot7No_biomass.shp,1.170944,NoBiomass7
8,Plot8No_biomass.shp,0.522302,NoBiomass8
9,Augier.shp,2.503314,Augier
10,Plot_1BO.shp,0.757182,1BO
11,Plot_2BO.shp,0.355794,2BO
12,1Cuyo.shp,0.904163,1cuyo
13,2_cuyo.shp,1.061428,2_cuyo
14,Decameron.shp,0.545582,Decameron
15,Deluge_.shp,2.002474,Deluge
16,2Delugert.shp,0.797335,Deluger2
17,3Deluger.shp,0.701758,Deluger3
18,Plot_1GON.shp,0.645644,1GON
19,Plot_2GON.shp,0.859093,2GON
20,Plot_3GON_p.shp,1.361225,3GON
21,1casimir.shp,1.931061,1casimir
22,2casimir.shp,0.824874,2Casimir
23,1cobana.shp,1.244768,1Cobana
24,2cobana.shp,0.607441,2Cobana
25,Lerochekit.shp,0.452314,Lerochekit
26,Pandiassou.shp,0.456313,Pandiassou
27,Lemer.shp,0.40135,Lemer
28,Marelish.shp,0.51009,Malerish
29,Campeche.shp,0.870332,Campeche
30,Lemanguier.shp,0.924655,Lemanguier
31,Pewpapay.shp,0.628439,Pewpapay
32,Pewpapay2.shp,0.891474,Pewpapay2
33,Rantnovi.shp,0.311403,Ratnovi
34,Sapate.shp,0.569562,Sapate
35,Tecase.shp,1.1224,Tecase
36,Pandiassou2.shp,0.660323,Pandiassou2_Namo
