species_binomial,by_spec_grav,family,genus,species_extd,species,wd_avg,all_names
acacia  ,,Fabaceae,Acacia, ,,,bayawonn
acacia auriculiformis,0.6-0.8,Fabaceae,Acacia,auriculiformis,auriculiformis,0.7,acacia
acacia barahonensis,,Fabaceae,Acacia,barahonensis,barahonensis,,acacia
acacia farnesiana,0.77-0.84,Fabaceae,Acacia,farnesiana,farnesiana,0.8049999999999999,acacia
acacia farnesiana,0.77-0.84,Fabaceae,Acacia,farnesiana,farnesiana,0.8049999999999999,casse
acacia macracantha,0.8-1.07,Fabaceae,Acacia,macracantha,macracantha,0.935,acacia
acacia nilotica,0.8,Fabaceae,Acacia,nilotica,nilotica,0.8,gommier
acacia scleroxyla,0.88-0.94,Fabaceae,Acacia,scleroxyla,scleroxyla,0.91,bwa savann
acacia scleroxyla,0.88-0.94,Fabaceae,Acacia,scleroxyla,scleroxyla,0.91,kandelon
acacia scleroxyla,0.88-0.94,Fabaceae,Acacia,scleroxyla,scleroxyla,0.91,tandrakayou
acacia scleroxyla,0.88-0.94,Fabaceae,Acacia,scleroxyla,scleroxyla,0.91,savann
acacia senegal,,Fabaceae,Acacia,senegal,senegal,,gommier
acacia tortuosa,,Fabaceae,Acacia,tortuosa,tortuosa,,acacia
albizia berteriana,,Fabaceae,Albizia,berteriana,berteriana,,bwa savann
albizia berteriana,,Fabaceae,Albizia,berteriana,berteriana,,savann
albizia lebbeck,0.43-0.68,Fabaceae,Albizia,lebbeck,lebbeck,0.555,tcha tcha
albizia lebbeck,0.43-0.68,Fabaceae,Albizia,lebbeck,lebbeck,0.555,bwa savann
albizia lebbeck,0.43-0.68,Fabaceae,Albizia,lebbeck,lebbeck,0.555,bwa nwa
albizia lebbeck,0.43-0.68,Fabaceae,Albizia,lebbeck,lebbeck,0.555,bois noir
albizia lebbeck,0.43-0.68,Fabaceae,Albizia,lebbeck,lebbeck,0.555,savann
albizia saman,0.42-0.64,Fabaceae,Albizia,saman,saman,0.53,saman
allophylus cobbe,,,Allophylus,cobbe,cobbe,,twa pawol
allophylus cominia,,Sapindaceae,Allophylus,cominia,cominia,,twa pawol
allophylus crassinervis,,Sapindaceae,Allophylus,crassinervis,crassinervis,,twa pawol
allophylus occidentalis,,Sapindaceae,Allophylus,occidentalis,occidentalis,,twa pawol
allophylus racemosus,,,Allophylus,racemosus,racemosus,,twa pawol
allophylus rigidus,,Sapindaceae,Allophylus,rigidus,rigidus,,twa pawol
allophylus spp.,,,Allophylus,spp.,,,twa pawol
amyris elemifera,,Rutaceae,Amyris,elemifera,elemifera,,twa pawol
amyris spp.,0.79-1.11,Rutaceae,Amyris,spp.,,0.95,twa pawol
anacardium occidentale,,Anacardiaceae,Anacardium,occidentale,occidentale,,acajou
andira inermis,,Fabaceae,Andira,inermis,inermis,,bwa palmis
annona cherimola,,Annonaceae,Annona,cherimola,cherimola,,cachiman
annona cherimola,,Annonaceae,Annona,cherimola,cherimola,,kachiman
annona montana,,Annonaceae,Annona,montana,montana,,guanabana
annona muricata,,Annonaceae,Annona,muricata,muricata,,kowosol
annona muricata,,Annonaceae,Annona,muricata,muricata,,guanabana
annona reticulata,,Annonaceae,Annona,reticulata,reticulata,,cachiman
annona spp.,0.4-0.5,Annonaceae,Annona,spp.,,0.45,kowosol
annona spp.,0.4-0.5,Annonaceae,Annona,spp.,,0.45,kachiman
annona squamosa,,Annonaceae,Annona,squamosa,squamosa,,cachiman
annona urbaniana,,Annonaceae,Annona,urbaniana,urbaniana,,magerit
azadirachta indica,0.52-0.65,Meliaceae,Azadirachta,indica,indica,0.585,neem
beilschmiedia pendula,0.54,Lauraceae,Beilschmiedia,pendula,pendula,0.54,bwa nwa
beilschmiedia pendula,0.54,Lauraceae,Beilschmiedia,pendula,pendula,0.54,bois noir
berrya cubensis,,Malvaceae,Berrya,cubensis,cubensis,,bois blanc
berrya cubensis,,Malvaceae,Berrya,cubensis,cubensis,,bwa doti
bunchosia glandulosa,,Malpighiaceae,Bunchosia,glandulosa,glandulosa,,bwa kaka
bunchosia media,,Malpighiaceae,Bunchosia,media,media,,bwa santi
bunchosia media,,Malpighiaceae,Bunchosia,media,media,,bwa satsi
bunchosia nitida,,Malpighiaceae,Bunchosia,nitida,nitida,,bwa santi
bunchosia spp.,,,Bunchosia,spp.,,,bwa santi
bursera simaruba,0.26-0.4,Burseraceae,Bursera,simaruba,simaruba,0.33,gommier
bursera simaruba,0.26-0.4,Burseraceae,Bursera,simaruba,simaruba,0.33,bursera
caesalpinia barahonensis,,Fabaceae,Caesalpinia,barahonensis,barahonensis,,bresillet
caesalpinia brasilensis,,Fabaceae,Caesalpinia,brasilensis,brasilensis,,bresillet
caesalpinia coriaria,0.9-1.2,Fabaceae,Caesalpinia,coriaria,coriaria,1.05,divi divi
caesalpinia praecox,,Fabaceae,Caesalpinia,praecox,praecox,,bayawonn
caesalpinia spp.,,Fabaceae,Caesalpinia,spp.,,,bresillet
calophyllum calaba,0.4-0.52,Clusiaceae,Calophyllum,calaba,calaba,0.46,damari
calophyllum calaba,0.4-0.52,Clusiaceae,Calophyllum,calaba,calaba,0.46,dalmari
cameraria latifolia,,Apocynaceae,Cameraria,latifolia,latifolia,,bois lait
capparis cynophallophora,,Brassicaceae,Capparis,cynophallophora,cynophallophora,,bwa kaka
capparis flexuosa,0.79-0.86,Brassicaceae,Capparis,flexuosa,flexuosa,0.825,bwa kaka
capparis spp.,,,Capparis,spp.,,,bwa kaka
carica papaya,,Caricaceae,Carica,papaya,papaya,,papay
cassia fistula,0.9,Fabaceae,Cassia,fistula,fistula,0.9,casse
cassia grandis,,Fabaceae,Cassia,grandis,grandis,,casse
cassia javanica,,Fabaceae,Cassia,javanica,javanica,,casse
catalpa longissima,0.6-0.8,Bignoniaceae,Catalpa,longissima,longissima,0.7,chenn
catalpa longissima,0.6-0.8,Bignoniaceae,Catalpa,longissima,longissima,0.7,chene
cecropia peltata,0.26-0.4,Moraceae,Cecropia,peltata,peltata,0.33,trompette
cedrela odorata,0.37-0.6,Meliaceae,Cedrela,odorata,odorata,0.485,sed
cedrela odorata,0.37-0.6,Meliaceae,Cedrela,odorata,odorata,0.485,cedre
cedrela odorata,0.37-0.6,Meliaceae,Cedrela,odorata,odorata,0.485,cedrela
chrysophyllum cainito,0.7,Sapotaceae,Chrysophyllum,cainito,cainito,0.7,kaymit
chrysophyllum spp.,,Sapotaceae,Chrysophyllum,spp.,,,kaymit
