plot_no,plot_shp,plot_id,biomass_tf,area_ha,lon,lat
1,Plot_1Nobiomass.shp,NoBiomass1,0,1.1239353207014697,-73.12726764519799,19.65227347482099
2,Plot2No_biomass.shp,NoBiomass2,0,1.0729808980893139,-72.99539759443623,19.618382407349785
3,Plot3No_biomass.shp,NoBiomass3,0,1.0238873628870888,-72.61405434692237,19.43083900443436
4,Plot4No_biomass.shp,NoBiomass4,0,1.0271834098345307,-72.89981449122683,19.555676314260275
5,Plot5No_biomass.shp,NoBiomass5,0,1.0124517341769579,-73.02094582391346,19.61743170597715
6,Plot6No_biomass.shp,NoBiomass6,0,0.9322260502829198,-72.62106590618131,19.452013220789038
7,Plot7No_biomass.shp,NoBiomass7,0,1.17094358307767,-72.27385537264763,19.305927460195228
8,Plot8No_biomass.shp,NoBiomass8,0,0.5223024448820822,-72.27715659374603,19.31029524556813
9,Augier.shp,Augier,1,2.5033137896083484,-72.71282601567007,18.950735426664714
10,Plot_1BO.shp,1BO,1,0.757181793773023,-73.3304615852657,19.675004056802557
11,Plot_2BO.shp,2BO,1,0.355794360319707,-73.35978189135926,19.68597196502302
12,1Cuyo.shp,1cuyo,1,0.904163164141371,-72.6904959024102,18.963782072958395
13,2_cuyo.shp,2_cuyo,1,1.0614281425271326,-72.70093629078653,18.958341971521282
14,Decameron.shp,Decameron,1,0.5455818163120688,-72.72349044088512,18.95753233972011
15,Deluge_.shp,Deluge,1,2.002474007532567,-72.717323423668,18.971487925042155
16,2Delugert.shp,Deluger2,1,0.797335054089227,-72.72807975903955,18.966522324212537
17,3Deluger.shp,Deluger3,1,0.70175814747026,-72.72310015922753,18.964322217637815
18,Plot_1GON.shp,1GON,1,0.6456443000124027,-72.60309224142718,19.436771163788805
19,Plot_2GON.shp,2GON,1,0.8590930513487165,-72.60622120272218,19.431770712541674
20,Plot_3GON_p.shp,3GON,1,1.3612247648510676,-72.60544805880386,19.44938264606967
21,1casimir.shp,1casimir,1,1.9310609179761502,-72.0382140704115,19.137964121494836
22,2casimir.shp,2Casimir,1,0.8248742764081132,-72.04016535231764,19.14405733605838
23,1cobana.shp,1Cobana,1,1.2447683228282105,-72.011682204375,19.18131545918651
24,2cobana.shp,2Cobana,1,0.607441353378418,-72.00796321199043,19.185696010437834
25,Lerochekit.shp,Lerochekit,1,0.45231437091847987,-72.05475182073076,19.155483823070604
26,Pandiassou.shp,Pandiassou,1,0.45631256502295864,-72.04545192498183,19.13424531459627
27,Lemer.shp,Lemer,1,0.40135034912056494,-72.70239398268185,18.942999018153067
28,Marelish.shp,Malerish,1,0.5100900843046731,-72.71883743141318,18.971666872724192
29,Campeche.shp,Campeche,1,0.8703316975313621,-72.00445304953503,19.132185579703464
30,Lemanguier.shp,Lemanguier,1,0.9246551162009295,-72.00001490224979,19.131481730862692
31,Pewpapay.shp,Pewpapay,1,0.628438527698814,-71.99257975715311,19.143316924444502
32,Pewpapay2.shp,Pewpapay2,1,0.8914743468811925,-71.9878597859309,19.14597933924072
33,Rantnovi.shp,Ratnovi,1,0.311402782096867,-72.12982079171644,19.13781955894581
34,Sapate.shp,Sapate,1,0.5695620298784204,-72.00255308474203,19.10493077253476
35,Tecase.shp,Tecase,1,1.1223951332541635,-72.05225685456959,19.13401749272819
36,Pandiassou2.shp,Pandiassou2_Namo,1,0.6603228919196369,-72.04804951493135,19.130876048141133
