sp_creole,dbh_cm,ht_m,ba_m2,plot_no,plot_shp,plot_area,genus
,,,,1,Plot_1Nobiomass.shp,1.123935,
,,,,2,Plot2No_biomass.shp,1.072981,
,,,,3,Plot3No_biomass.shp,1.023887,
,,,,4,Plot4No_biomass.shp,1.027183,
,,,,5,Plot5No_biomass.shp,1.012452,
,,,,6,Plot6No_biomass.shp,0.932226,
,,,,7,Plot7No_biomass.shp,1.170944,
,,,,8,Plot8No_biomass.shp,0.522302,
mango,91.5,6.0,0.6575549773504287,9,Augier.shp,2.503314,Mangifera
mango,85.0,7.5,0.5674501730546563,9,Augier.shp,2.503314,Mangifera
chenn,48.0,17.8,0.18095573684677208,9,Augier.shp,2.503314,Catalpa
mango,112.5,13.5,0.9940195505498954,9,Augier.shp,2.503314,Mangifera
chenn,42.0,,0.13854423602330987,9,Augier.shp,2.503314,Catalpa
chenn,25.5,16.0,0.051070515574919075,9,Augier.shp,2.503314,Catalpa
chenn,31.0,,0.07547676350249478,9,Augier.shp,2.503314,Catalpa
chenn,41.5,17.0,0.13526519869112552,9,Augier.shp,2.503314,Catalpa
chenn,39.0,18.0,0.1194590606527519,9,Augier.shp,2.503314,Catalpa
chenn,36.3,16.0,0.10349113059271836,9,Augier.shp,2.503314,Catalpa
chenn,35.0,17.3,0.0962112750161874,9,Augier.shp,2.503314,Catalpa
chenn,36.0,17.0,0.10178760197630929,9,Augier.shp,2.503314,Catalpa
chenn,36.5,,0.10463467031862503,9,Augier.shp,2.503314,Catalpa
chenn,36.3,17.5,0.10349113059271836,9,Augier.shp,2.503314,Catalpa
mango,127.5,12.2,1.2767628893729768,9,Augier.shp,2.503314,Mangifera
latanye,15.5,4.5,0.018869190875623696,9,Augier.shp,2.503314,Coccothrinax
latanye,24.4,5.0,0.04675946505603048,9,Augier.shp,2.503314,Coccothrinax
latanye,17.0,5.0,0.02269800692218626,9,Augier.shp,2.503314,Coccothrinax
chenn,33.0,13.0,0.08552985999398213,9,Augier.shp,2.503314,Catalpa
mango,59.5,12.0,0.27805058479678163,9,Augier.shp,2.503314,Mangifera
chenn,37.3,,0.10927166107532359,9,Augier.shp,2.503314,Catalpa
chenn,38.0,11.4,0.11341149479459153,9,Augier.shp,2.503314,Catalpa
chenn,55.0,17.2,0.23758294442772815,9,Augier.shp,2.503314,Catalpa
chenn,39.5,17.5,0.12254174844408688,9,Augier.shp,2.503314,Catalpa
chenn,34.5,16.6,0.09348201639838126,9,Augier.shp,2.503314,Catalpa
chenn,39.6,,0.12316299839133425,9,Augier.shp,2.503314,Catalpa
mango,41.5,9.6,0.13526519869112552,9,Augier.shp,2.503314,Mangifera
chenn,45.4,15.6,0.16188312784682843,9,Augier.shp,2.503314,Catalpa
fwenn,72.0,,0.40715040790523715,9,Augier.shp,2.503314,Simarouba
fwenn,21.0,7.5,0.03463605900582747,9,Augier.shp,2.503314,Simarouba
zamann,36.0,,0.10178760197630929,9,Augier.shp,2.503314,Terminalia
latanye lame,51.5,,0.20830722788708822,9,Augier.shp,2.503314,Thrinax
latanye lame,36.0,,0.10178760197630929,9,Augier.shp,2.503314,Thrinax
latanye lame,44.0,16.6,0.152053084433746,9,Augier.shp,2.503314,Thrinax
latanye,35.0,,0.0962112750161874,9,Augier.shp,2.503314,Coccothrinax
latanye,38.0,,0.11341149479459153,9,Augier.shp,2.503314,Coccothrinax
mango,25.5,9.6,0.051070515574919075,9,Augier.shp,2.503314,Mangifera
latanye,25.5,7.5,0.051070515574919075,9,Augier.shp,2.503314,Coccothrinax
fwenn,31.5,13.5,0.07793113276311181,9,Augier.shp,2.503314,Simarouba
latanye,32.0,,0.0804247719318987,9,Augier.shp,2.503314,Coccothrinax
mango,7.3,,0.004185386812745002,9,Augier.shp,2.503314,Mangifera
mango,14.0,,0.015393804002589988,9,Augier.shp,2.503314,Mangifera
mango,16.0,,0.020106192982974676,9,Augier.shp,2.503314,Mangifera
chenn,54.0,,0.22902210444669593,9,Augier.shp,2.503314,Catalpa
latanye,32.3,,0.08193980498909235,9,Augier.shp,2.503314,Coccothrinax
fwenn,24.7,14.8,0.047916356550714925,9,Augier.shp,2.503314,Simarouba
chenn,34.2,,0.09186331078361915,9,Augier.shp,2.503314,Catalpa
latanye,20.5,,0.03300635781677776,9,Augier.shp,2.503314,Coccothrinax
latanye,34.7,15.0,0.09456900745652336,9,Augier.shp,2.503314,Coccothrinax
chenn,16.3,,0.020867243803306804,9,Augier.shp,2.503314,Catalpa
chenn,41.3,18.4,0.13396457933253933,9,Augier.shp,2.503314,Catalpa
fwenn,37.3,15.6,0.10927166107532359,9,Augier.shp,2.503314,Simarouba
gommier,20.5,,0.03300635781677776,9,Augier.shp,2.503314,Acacia
flambwayan,10.5,,0.008659014751456867,9,Augier.shp,2.503314,Delonix
fwenn,5.5,,0.002375829444277281,9,Augier.shp,2.503314,Simarouba
chenn,43.7,19.0,0.14998670186584734,9,Augier.shp,2.503314,Catalpa
fwenn,29.5,,0.06834927516966292,9,Augier.shp,2.503314,Simarouba
kalbas,25.0,,0.04908738521234052,9,Augier.shp,2.503314,Crescentia
mango,24.0,,0.04523893421169302,9,Augier.shp,2.503314,Mangifera
mango,19.0,,0.028352873698647883,9,Augier.shp,2.503314,Mangifera
mango,31.0,,0.07547676350249478,9,Augier.shp,2.503314,Mangifera
kalbas,56.0,,0.2463008640414398,9,Augier.shp,2.503314,Crescentia
kasya,44.5,,0.15552847130677971,9,Augier.shp,2.503314,Senna
nim,10.0,,0.007853981633974483,9,Augier.shp,2.503314,Azadirachta
nim,13.5,,0.014313881527918496,9,Augier.shp,2.503314,Azadirachta
flambwayan,10.4,,0.008494866535306803,9,Augier.shp,2.503314,Delonix
flambwayan,18.3,,0.026302199094017143,9,Augier.shp,2.503314,Delonix
flambwayan,35.5,,0.09897980354216342,9,Augier.shp,2.503314,Delonix
flambwayan,14.3,,0.016060607043314423,9,Augier.shp,2.503314,Delonix
nim,14.0,,0.015393804002589988,9,Augier.shp,2.503314,Azadirachta
nim,24.5,,0.04714352475793183,9,Augier.shp,2.503314,Azadirachta
nim,28.5,,0.06379396582195773,9,Augier.shp,2.503314,Azadirachta
gommier,7.2,,0.004071504079052372,9,Augier.shp,2.503314,Acacia
nim,18.0,,0.025446900494077322,9,Augier.shp,2.503314,Azadirachta
nim,14.3,,0.016060607043314423,9,Augier.shp,2.503314,Azadirachta
flambwayan,29.5,,0.06834927516966292,9,Augier.shp,2.503314,Delonix
flambwayan,43.5,,0.14861696746888214,9,Augier.shp,2.503314,Delonix
kowosol,6.5,,0.0033183072403542195,9,Augier.shp,2.503314,Annona
kalbas,36.0,,0.10178760197630929,9,Augier.shp,2.503314,Crescentia
kalbas,17.0,,0.02269800692218626,9,Augier.shp,2.503314,Crescentia
latanye,33.3,,0.08709201694097962,9,Augier.shp,2.503314,Coccothrinax
kalbas,61.5,,0.29705722035099985,9,Augier.shp,2.503314,Crescentia
chenn,37.0,14.8,0.10752100856911066,9,Augier.shp,2.503314,Catalpa
bwa doule,8.0,3.2,0.005026548245743669,9,Augier.shp,2.503314,Morinda
bwa doule,8.5,3.0,0.005674501730546565,9,Augier.shp,2.503314,Morinda
mango,36.0,8.0,0.10178760197630929,9,Augier.shp,2.503314,Mangifera
chenn,48.5,12.0,0.18474528298516477,9,Augier.shp,2.503314,Catalpa
mango,51.0,,0.2042820622996763,9,Augier.shp,2.503314,Mangifera
kalbas,32.0,,0.0804247719318987,9,Augier.shp,2.503314,Crescentia
mango,47.0,9.2,0.1734944542944963,9,Augier.shp,2.503314,Mangifera
kalbas,32.0,,0.0804247719318987,9,Augier.shp,2.503314,Crescentia
kalbas,17.0,,0.02269800692218626,9,Augier.shp,2.503314,Crescentia
latanye,37.5,7.4,0.11044661672776616,9,Augier.shp,2.503314,Coccothrinax
kalbas,8.0,,0.005026548245743669,9,Augier.shp,2.503314,Crescentia
kalbas,5.0,,0.001963495408493621,9,Augier.shp,2.503314,Crescentia
kalbas,6.0,,0.0028274333882308137,9,Augier.shp,2.503314,Crescentia
kalbas,28.5,,0.06379396582195773,9,Augier.shp,2.503314,Crescentia
latanye,30.5,,0.07306166415004763,9,Augier.shp,2.503314,Coccothrinax
mango,55.0,,0.23758294442772815,9,Augier.shp,2.503314,Mangifera
latanye,27.7,,0.06026281567932279,9,Augier.shp,2.503314,Coccothrinax
kalbas,42.2,,0.1398668465304712,9,Augier.shp,2.503314,Crescentia
latanye,33.4,,0.08761587751596572,9,Augier.shp,2.503314,Coccothrinax
mango,59.5,,0.27805058479678163,9,Augier.shp,2.503314,Mangifera
mango,70.3,,0.3881508409344895,9,Augier.shp,2.503314,Mangifera
mango,65.0,,0.3318307240354219,9,Augier.shp,2.503314,Mangifera
mango,64.5,,0.32674527092742345,9,Augier.shp,2.503314,Mangifera
latanye lame,30.1,14.0,0.0711578590019722,9,Augier.shp,2.503314,Thrinax
latanye lame,33.3,13.9,0.08709201694097962,9,Augier.shp,2.503314,Thrinax
mango,68.7,,0.37068358578053034,9,Augier.shp,2.503314,Mangifera
mango,74.3,,0.43357827070539795,9,Augier.shp,2.503314,Mangifera
mango,88.1,,0.6095954239007266,9,Augier.shp,2.503314,Mangifera
latanye,27.4,,0.05896455251522681,9,Augier.shp,2.503314,Coccothrinax
mango,27.3,,0.05853493971984843,9,Augier.shp,2.503314,Mangifera
latanye lame,25.6,,0.05147185403641517,9,Augier.shp,2.503314,Thrinax
latanye lame,22.1,,0.038359631698494774,9,Augier.shp,2.503314,Thrinax
latanye lame,21.7,,0.03698361411622244,9,Augier.shp,2.503314,Thrinax
latanye lame,23.5,,0.04337361357362408,9,Augier.shp,2.503314,Thrinax
mango,24.5,,0.04714352475793183,9,Augier.shp,2.503314,Mangifera
mango,26.5,,0.05515458602458581,9,Augier.shp,2.503314,Mangifera
latanye lame,54.5,,0.23328288948312711,9,Augier.shp,2.503314,Thrinax
latanye lame,51.2,,0.20588741614566067,9,Augier.shp,2.503314,Thrinax
latanye lame,97.3,14.2,0.7435592178351027,9,Augier.shp,2.503314,Thrinax
latanye lame,54.5,11.4,0.23328288948312711,9,Augier.shp,2.503314,Thrinax
mango,17.0,,0.02269800692218626,9,Augier.shp,2.503314,Mangifera
mango,16.0,,0.020106192982974676,9,Augier.shp,2.503314,Mangifera
mango,12.0,,0.011309733552923255,9,Augier.shp,2.503314,Mangifera
mango,35.5,,0.09897980354216342,9,Augier.shp,2.503314,Mangifera
mango,37.3,13.4,0.10927166107532359,9,Augier.shp,2.503314,Mangifera
mango,45.7,,0.16402962102739368,9,Augier.shp,2.503314,Mangifera
mango,24.2,,0.04599605804120816,9,Augier.shp,2.503314,Mangifera
mango,74.5,,0.43591561563966874,9,Augier.shp,2.503314,Mangifera
latanye lame,25.7,,0.05187476329423806,9,Augier.shp,2.503314,Thrinax
latanye lame,28.9,,0.06559724000511827,9,Augier.shp,2.503314,Thrinax
latanye lame,28.4,,0.06334707426698458,9,Augier.shp,2.503314,Thrinax
latanye,23.4,,0.04300526183499067,9,Augier.shp,2.503314,Coccothrinax
latanye,32.3,12.6,0.08193980498909235,9,Augier.shp,2.503314,Coccothrinax
mango,25.6,,0.05147185403641517,9,Augier.shp,2.503314,Mangifera
latanye lame,25.4,,0.05067074790974978,9,Augier.shp,2.503314,Thrinax
latanye lame,76.4,,0.458433766382437,9,Augier.shp,2.503314,Thrinax
latanye lame,90.3,,0.64042073101775,9,Augier.shp,2.503314,Thrinax
mango,21.5,,0.036305030103047045,9,Augier.shp,2.503314,Mangifera
mango,19.5,,0.029864765163187975,9,Augier.shp,2.503314,Mangifera
mango,28.5,,0.06379396582195773,9,Augier.shp,2.503314,Mangifera
mango,23.3,,0.04263848089268407,9,Augier.shp,2.503314,Mangifera
latanye lame,25.5,,0.051070515574919075,9,Augier.shp,2.503314,Thrinax
mango,53.5,,0.22480058931843463,9,Augier.shp,2.503314,Mangifera
mango,90.4,,0.6418399454990091,9,Augier.shp,2.503314,Mangifera
zaboka,40.4,,0.1281895466370779,9,Augier.shp,2.503314,Persea
zaboka,52.3,,0.21482917423594064,9,Augier.shp,2.503314,Persea
latanye lame,12.7,,0.012667686977437444,9,Augier.shp,2.503314,Thrinax
mango,6.3,,0.0031172453105244723,9,Augier.shp,2.503314,Mangifera
latanye lame,80.3,,0.5064318043421451,9,Augier.shp,2.503314,Thrinax
latanye lame,31.0,,0.07547676350249478,9,Augier.shp,2.503314,Thrinax
latanye,31.3,,0.07694467266988461,9,Augier.shp,2.503314,Coccothrinax
latanye,28.4,,0.06334707426698458,9,Augier.shp,2.503314,Coccothrinax
mango,69.2,,0.37609890611715574,9,Augier.shp,2.503314,Mangifera
latanye,36.5,,0.10463467031862503,9,Augier.shp,2.503314,Coccothrinax
latanye,19.0,,0.028352873698647883,9,Augier.shp,2.503314,Coccothrinax
mango,22.7,,0.04047078196170711,9,Augier.shp,2.503314,Mangifera
latanye lame,39.3,,0.12130396093857247,9,Augier.shp,2.503314,Thrinax
kampech,13.0,5.2,0.013273228961416878,9,Augier.shp,2.503314,Haematoxylon
kampech,9.1,5.0,0.00650388219109427,9,Augier.shp,2.503314,Haematoxylon
kowosol,6.1,,0.002922466566001905,9,Augier.shp,2.503314,Annona
latanye,28.4,,0.06334707426698458,9,Augier.shp,2.503314,Coccothrinax
mango,5.0,,0.001963495408493621,9,Augier.shp,2.503314,Mangifera
latanye lame,66.7,,0.3494150035157274,9,Augier.shp,2.503314,Thrinax
mango,32.5,,0.08295768100885548,9,Augier.shp,2.503314,Mangifera
mango,29.7,,0.06927918659512551,9,Augier.shp,2.503314,Mangifera
latanye lame,67.3,13.2,0.35572960474944276,9,Augier.shp,2.503314,Thrinax
mango,13.5,5.6,0.014313881527918496,9,Augier.shp,2.503314,Mangifera
mango,10.4,5.0,0.008494866535306803,9,Augier.shp,2.503314,Mangifera
latanye lame,53.1,13.4,0.22145165154970792,9,Augier.shp,2.503314,Thrinax
latanye lame,43.2,12.4,0.1465741468458854,9,Augier.shp,2.503314,Thrinax
mango,22.3,,0.03905706526759171,9,Augier.shp,2.503314,Mangifera
mango,24.1,,0.0456167107282872,9,Augier.shp,2.503314,Mangifera
mango,26.0,,0.05309291584566751,9,Augier.shp,2.503314,Mangifera
latanye lame,28.3,12.0,0.06290175350833825,9,Augier.shp,2.503314,Thrinax
latanye lame,38.3,14.8,0.11520927119060825,9,Augier.shp,2.503314,Thrinax
latanye lame,34.0,14.0,0.09079202768874504,9,Augier.shp,2.503314,Thrinax
latanye lame,43.4,14.5,0.14793445646488976,9,Augier.shp,2.503314,Thrinax
latanye lame,40.2,,0.12692348479768126,9,Augier.shp,2.503314,Thrinax
mango,66.3,,0.34523668528645285,9,Augier.shp,2.503314,Mangifera
mango,115.5,13.6,1.047740784926281,9,Augier.shp,2.503314,Mangifera
chenn,35.3,15.2,0.09786767974279262,9,Augier.shp,2.503314,Catalpa
mango,57.2,,0.25696971269303076,9,Augier.shp,2.503314,Mangifera
mango,44.5,,0.15552847130677971,9,Augier.shp,2.503314,Mangifera
chenn,39.5,,0.12254174844408688,9,Augier.shp,2.503314,Catalpa
latanye lame,50.5,,0.20029616662043426,9,Augier.shp,2.503314,Thrinax
latanye lame,43.5,,0.14861696746888214,9,Augier.shp,2.503314,Thrinax
latanye lame,50.4,,0.19950369987356623,9,Augier.shp,2.503314,Thrinax
latanye lame,101.5,17.8,0.809136822886136,9,Augier.shp,2.503314,Thrinax
mango,113.8,,1.017125179118885,9,Augier.shp,2.503314,Mangifera
mango,38.7,,0.11762829753387244,9,Augier.shp,2.503314,Mangifera
latanye lame,25.6,,0.05147185403641517,9,Augier.shp,2.503314,Thrinax
latanye lame,78.3,,0.4815189745991781,9,Augier.shp,2.503314,Thrinax
mango,34.1,,0.09132688383801871,9,Augier.shp,2.503314,Mangifera
mango,31.2,,0.07645379881776121,9,Augier.shp,2.503314,Mangifera
mango,25.2,,0.049875924968391556,9,Augier.shp,2.503314,Mangifera
mango,41.5,,0.13526519869112552,9,Augier.shp,2.503314,Mangifera
latanye,37.4,,0.10985835350338148,9,Augier.shp,2.503314,Coccothrinax
latanye,40.1,,0.1262928100724731,9,Augier.shp,2.503314,Coccothrinax
latanye lame,96.3,,0.7283539093917282,9,Augier.shp,2.503314,Thrinax
mango,25.3,,0.05027255104090726,9,Augier.shp,2.503314,Mangifera
