sp_creole,dbh_cm,ht_m,ba_m2,plot_no,plot_shp,plot_area,mean_BYsp,sd_BYsp,mean_BYgn,sd_BYgn,mean_BYfm,sd_BYfm,mean_GWDBYspgnfm,sd_GWDBYspgnfm,mean_GWDBYgnfm,sd_GWDBYgnfm,mean_GWDBYgn,sd_GWDBYgn,mean_GWDspgnfm,sd_GWDspgnfm
,,,,1,Plot_1Nobiomass.shp,1.1239350000000001,,,,,,,,,,,,,,
,,,,2,Plot2No_biomass.shp,1.072981,,,,,,,,,,,,,,
,,,,3,Plot3No_biomass.shp,1.023887,,,,,,,,,,,,,,
,,,,4,Plot4No_biomass.shp,1.027183,,,,,,,,,,,,,,
,,,,5,Plot5No_biomass.shp,1.0124520000000001,,,,,,,,,,,,,,
,,,,6,Plot6No_biomass.shp,0.932226,,,,,,,,,,,,,,
,,,,7,Plot7No_biomass.shp,1.170944,,,,,,,,,,,,,,
,,,,8,Plot8No_biomass.shp,0.522302,,,,,,,,,,,,,,
mango,91.5,6.0,0.6575549773504287,9,Augier.shp,2.503314,0.515,,0.515,,0.4225,0.13081475451951127,0.5525,0.0708232617216773,0.500529411764706,0.0941339098036177,0.500529411764706,0.0941339098036177,0.5525,0.0708232617216773
mango,85.0,7.5,0.5674501730546563,9,Augier.shp,2.503314,0.515,,0.515,,0.4225,0.13081475451951127,0.5525,0.0708232617216773,0.500529411764706,0.0941339098036177,0.500529411764706,0.0941339098036177,0.5525,0.0708232617216773
chenn,48.0,17.8,0.18095573684677208,9,Augier.shp,2.503314,0.7,,0.7,,0.675,0.03535533905932737,0.7233333333333329,0.0708232617216773,0.4785666666666671,0.0941339098036177,0.4785666666666671,0.0941339098036177,0.7233333333333329,0.0708232617216773
mango,112.5,13.5,0.9940195505498954,9,Augier.shp,2.503314,0.515,,0.515,,0.4225,0.13081475451951127,0.5525,0.0708232617216773,0.500529411764706,0.0941339098036177,0.500529411764706,0.0941339098036177,0.5525,0.0708232617216773
chenn,42.0,,0.13854423602330987,9,Augier.shp,2.503314,0.7,,0.7,,0.675,0.03535533905932737,0.7233333333333329,0.0708232617216773,0.4785666666666671,0.0941339098036177,0.4785666666666671,0.0941339098036177,0.7233333333333329,0.0708232617216773
chenn,25.5,16.0,0.05107051557491908,9,Augier.shp,2.503314,0.7,,0.7,,0.675,0.03535533905932737,0.7233333333333329,0.0708232617216773,0.4785666666666671,0.0941339098036177,0.4785666666666671,0.0941339098036177,0.7233333333333329,0.0708232617216773
chenn,31.0,,0.07547676350249477,9,Augier.shp,2.503314,0.7,,0.7,,0.675,0.03535533905932737,0.7233333333333329,0.0708232617216773,0.4785666666666671,0.0941339098036177,0.4785666666666671,0.0941339098036177,0.7233333333333329,0.0708232617216773
chenn,41.5,17.0,0.13526519869112552,9,Augier.shp,2.503314,0.7,,0.7,,0.675,0.03535533905932737,0.7233333333333329,0.0708232617216773,0.4785666666666671,0.0941339098036177,0.4785666666666671,0.0941339098036177,0.7233333333333329,0.0708232617216773
chenn,39.0,18.0,0.1194590606527519,9,Augier.shp,2.503314,0.7,,0.7,,0.675,0.03535533905932737,0.7233333333333329,0.0708232617216773,0.4785666666666671,0.0941339098036177,0.4785666666666671,0.0941339098036177,0.7233333333333329,0.0708232617216773
chenn,36.3,16.0,0.10349113059271836,9,Augier.shp,2.503314,0.7,,0.7,,0.675,0.03535533905932737,0.7233333333333329,0.0708232617216773,0.4785666666666671,0.0941339098036177,0.4785666666666671,0.0941339098036177,0.7233333333333329,0.0708232617216773
chenn,35.0,17.3,0.0962112750161874,9,Augier.shp,2.503314,0.7,,0.7,,0.675,0.03535533905932737,0.7233333333333329,0.0708232617216773,0.4785666666666671,0.0941339098036177,0.4785666666666671,0.0941339098036177,0.7233333333333329,0.0708232617216773
