all_names,mean_BYsp,sd_BYsp,mean_BYgn,sd_BYgn,med_BYgn,mean_BYfm,sd_BYfm,mean_BYgnfm,sd_BYgnfm,mean_GWDBYspgnfm,sd_GWDBYspgnfm,mean_GWDBYgnfm,sd_GWDBYgnfm,mean_GWDBYgn,sd_GWDBYgn,mean_GWDspgnfm,sd_GWDspgnfm,mean_GWDgnfm,sd_GWDgnfm,mean_GWDBYgnfm_CAT,sd_GWDBYgnfm_CAT
abbe marron,,,,,,0.375,0.0,0.375,0.0,0.42651325396825396,0.12340172424716199,0.42651325396825396,0.12340172424716199,,,0.433019603174603,0.12340172424716199,0.433019603174603,0.12340172424716199,0.5491666666666671,0.12340172424716199
abbe rouge,,,,,,0.7498630136986298,0.15103915116740885,0.7498630136986298,0.15103915116740885,0.5913,0.0941339098036177,0.5913,0.0941339098036177,0.5913,0.0941339098036177,0.5913,0.0941339098036177,0.5913,0.0941339098036177,0.662793604651163,0.12340172424716199
abe mawon,,,,,,0.375,0.0,0.375,0.0,0.42651325396825396,0.12340172424716199,0.42651325396825396,0.12340172424716199,,,0.433019603174603,0.12340172424716199,0.433019603174603,0.12340172424716199,0.5491666666666671,0.12340172424716199
abi,0.7000000000000001,0.0,0.7885714285714286,0.1667963323443189,0.7016666666666667,0.5708511555307053,0.10371185221202205,0.6447423352902805,0.10821390397685349,0.6063914947089947,0.08735655483657155,0.5625018594104306,0.1024961425017732,0.6168973015873014,0.0941339098036177,0.5989302513227514,0.08735655483657155,0.5495930158730158,0.1024961425017732,0.6465895625692138,0.11085837519992872
abricot,0.62,0.0,0.6833333333333335,0.0,0.6833333333333335,0.5568421052631578,0.12452365378062592,0.6833333333333335,0.0,0.706684773097273,0.10876781702538985,0.706684773097273,0.10876781702538985,0.7411096153846151,0.0941339098036177,0.7054166122004355,0.10876781702538985,0.7054166122004355,0.10876781702538985,0.7252777777777781,0.10876781702538985
abricot batard,,,0.7150000000000001,0.0,0.7150000000000001,0.5568421052631578,0.12452365378062592,0.7150000000000001,0.0,0.7411096153846151,0.0941339098036177,0.7411096153846151,0.0941339098036177,0.7411096153846151,0.0941339098036177,0.7416215686274509,0.0941339098036177,0.7416215686274509,0.0941339098036177,0.746666666666667,0.0941339098036177
abricot bord de mer,,,0.7150000000000001,0.0,0.7150000000000001,0.5568421052631578,0.12452365378062592,0.7150000000000001,0.0,0.7411096153846151,0.0941339098036177,0.7411096153846151,0.0941339098036177,0.7411096153846151,0.0941339098036177,0.7416215686274509,0.0941339098036177,0.7416215686274509,0.0941339098036177,0.746666666666667,0.0941339098036177
abricot marron,,,,,,,,,,0.64475,0.12340172424716199,0.64475,0.12340172424716199,0.635395299886149,0.177051014041834,0.64475,0.12340172424716199,0.64475,0.12340172424716199,0.64900160729459,0.18970298025815902
abricot st-domingue,,,0.7150000000000001,0.0,0.7150000000000001,0.5568421052631578,0.12452365378062592,0.7150000000000001,0.0,0.7411096153846151,0.0941339098036177,0.7411096153846151,0.0941339098036177,0.7411096153846151,0.0941339098036177,0.7416215686274509,0.0941339098036177,0.7416215686274509,0.0941339098036177,0.746666666666667,0.0941339098036177
abricotier,0.62,0.0,0.62,0.0,0.62,0.5568421052631578,0.12452365378062592,0.62,0.0,0.672259930809931,0.12340172424716199,0.672259930809931,0.12340172424716199,,,0.66921165577342,0.12340172424716199,0.66921165577342,0.12340172424716199,0.7038888888888891,0.12340172424716199
