,plot_no,plot_shp,plot_area,basal_area,volume,stocking,AGB_Chave14,AGB_WDsFromCATrop,AGB_WDsFromWorld,Name,Area_ha,Shape_Leng,Shape_Area,2007_count,2007_sum,2007_mean,2007_stdev
1,1,Plot_1Nobiomass.shp,1.123935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,Plot2No_biomass.shp,1.072981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,Plot3No_biomass.shp,1.023887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,Plot4No_biomass.shp,1.027183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,Plot5No_biomass.shp,1.012452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6,Plot6No_biomass.shp,0.932226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7,Plot7No_biomass.shp,1.170944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,8,Plot8No_biomass.shp,0.522302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,9,Augier.shp,2.503314,16.07393769,149.7039872,111.0527884,163980.9706,192711.202,157947.1342,Augier,2.50331,679.5632775,25033.1379,42,1.68039961,0.040009515,0.007827514
10,10,Plot_1BO.shp,0.757182,12.68135556,82.03630938,653.7397878,119521.4606,104094.9691,126043.3349,Bombardopolis1,0.757182,391.6983012,7571.817938,13,0.249338234,0.019179864,0.001060404
11,11,Plot_2BO.shp,0.355794,9.677133869,65.25648259,916.2605328,74523.60732,75024.93704,73383.24924,Bombardopolis2,0.355794,332.137946,3557.943603,8,0.203372711,0.025421589,0.002471508
12,12,1Cuyo.shp,0.904163,14.04641161,115.1416585,179.1712335,124242.1875,140629.6733,126007.4032,1cuyo,0.904163,430.0214576,9041.631641,16,0.564144099,0.035259006,0.008744949
13,13,2_cuyo.shp,1.061428,19.50883049,173.9771371,136.6084181,181198.4956,224357.5177,176507.9434,2cuyo2,1.06143,411.9684706,10614.28143,20,0.720000178,0.036000009,0.007260582
14,14,Decameron.shp,0.545582,13.92344983,90.11927395,703.8355371,129749.5275,89454.16704,107372.9998,Decameron,0.545582,308.3698079,5455.818163,9,0.439402837,0.048822537,0.007177501
