"family","genus","species","meanWD","sdWD","levelWD","nInd"
"Sapotaceae","Mastichodendron","foetidissimum",0.714777960939882,0.123401724247162,"family",31
"Sapotaceae","Mastichodendron","foetidissimum",0.714777960939882,0.123401724247162,"family",31
"Solanaceae","Solanum","torvum",0.411857142857143,0.0941339098036177,"genus",7
"Solanaceae","Solanum","erianthm",0.411857142857143,0.0941339098036177,"genus",7
"Solanaceae","Solanum","erianthm",0.411857142857143,0.0941339098036177,"genus",7
"Erythroxylaceae","Erythroxylum","areolatum",0.789611111111111,0.0941339098036177,"genus",16
"Erythroxylaceae","Erythroxylum","areolatum",0.789611111111111,0.0941339098036177,"genus",16
"Erythroxylaceae","Erythroxylum","areolatum",0.789611111111111,0.0941339098036177,"genus",16
"Araucariaceae","Araucaria","heterophylla",0.475571428571429,0.0941339098036177,"genus",7
"Musaceae","Musa","spp.",0.63428403575867,0.156504650873455,"dataset",920
"Musaceae","Musa","spp.",0.63428403575867,0.156504650873455,"dataset",920
"Fabaceae","Cassia","grandis",0.735827777777778,0.0941339098036177,"genus",15
"Fabaceae","Erythrina","variegata",0.28,0.0708232617216773,"species",1
"Fabaceae","Prosopis","juliflora",0.79375,0.0708232617216773,"species",8
"Fabaceae","Prosopis","juliflora",0.79375,0.0708232617216773,"species",8
"Solanaceae","Acnistus","arborescens",0.537788095238095,0.123401724247162,"family",5
"Solanaceae","Acnistus","arborescens",0.537788095238095,0.123401724247162,"family",5
"Moringaceae","Moringa","oleifera",0.262,0.0708232617216773,"species",1
"Anacardiaceae","Comocladia","spp.",0.79,0.0941339098036177,"genus",1
"Anacardiaceae","Comocladia","spp.",0.79,0.0941339098036177,"genus",1
"Fabaceae","Erythrina","berteroana",0.3,0.0708232617216773,"species",1
"Myrtaceae","Eugenia","domingensis",0.722760273972603,0.0941339098036177,"genus",73
"Myrtaceae","Eugenia","domingensis",0.722760273972603,0.0941339098036177,"genus",73
"Rhamnaceae","Reynosia","uncinata",0.742069687257187,0.123401724247162,"family",13
"Rhamnaceae","Reynosia","uncinata",0.742069687257187,0.123401724247162,"family",13
"Rhamnaceae","Reynosia","uncinata",0.742069687257187,0.123401724247162,"family",13
"Rhamnaceae","Reynosia","uncinata",0.742069687257187,0.123401724247162,"family",13
"Theophrastaceae","Jacquinia","spp.",0.63428403575867,0.156504650873455,"dataset",920
"Theophrastaceae","Jacquinia","spp.",0.63428403575867,0.156504650873455,"dataset",920
"Ulmaceae","Phyllostylon","brasiliense",0.7543,0.0941339098036177,"genus",2
"Simaroubaceae","Simarouba","spp.",0.557177777777778,0.0941339098036177,"genus",3
"Simaroubaceae","Simarouba","spp.",0.557177777777778,0.0941339098036177,"genus",3
"Brassicaceae","Capparis","frondosa",0.63428403575867,0.156504650873455,"dataset",920
"Brassicaceae","Capparis","frondosa",0.63428403575867,0.156504650873455,"dataset",920
"Euphorbiaceae","Sapium","spp.",0.419269607843137,0.0941339098036177,"genus",17
"Euphorbiaceae","Sapium","spp.",0.419269607843137,0.0941339098036177,"genus",17
"Annonaceae","Guatteria","blainii",0.8,0.0708232617216773,"species",1
"Rutaceae","Amyris","spp.",0.975,0.0941339098036177,"genus",2
"Rutaceae","Amyris","spp.",0.975,0.0941339098036177,"genus",2
"Boraginaceae","Cordia","alba",0.542470421245421,0.0941339098036177,"genus",42
"Brassicaceae","Capparis","cynophallophora",0.63428403575867,0.156504650873455,"dataset",920
"Brassicaceae","Capparis","cynophallophora",0.63428403575867,0.156504650873455,"dataset",920
"Myrtaceae","Myrcia","citrifolia",0.8155,0.0941339098036177,"genus",8
"Myrtaceae","Myrcia","citrifolia",0.8155,0.0941339098036177,"genus",8
"Myrtaceae","Myrcia","citrifolia",0.8155,0.0941339098036177,"genus",8
"Fabaceae","Lonchocarpus","spp.",0.760980434782609,0.0941339098036177,"genus",23
"Fabaceae","Lonchocarpus","spp.",0.760980434782609,0.0941339098036177,"genus",23
"Sapotaceae","Bumelia","cubensis",0.714777960939882,0.123401724247162,"family",31
"Myrtaceae","Pimenta","racemosa",0.9,0.0708232617216773,"species",1
"Myrtaceae","Pimenta","racemosa",0.9,0.0708232617216773,"species",1
"Theaceae","Ternstroemia","peduncularis",0.567715277777778,0.123401724247162,"family",6
"Boraginaceae","Cordia","spp. (dark-wooded)",0.542470421245421,0.0941339098036177,"genus",42
"Boraginaceae","Cordia","spp. (dark-wooded)",0.542470421245421,0.0941339098036177,"genus",42
"Myrtaceae","Eugenia","monticola",0.722760273972603,0.0941339098036177,"genus",73
"Myrtaceae","Eugenia","monticola",0.722760273972603,0.0941339098036177,"genus",73
